tol = 1e-5,,,Gap,,,,,Runtime,,,,,
n,s,t,DDGFact,DDGFactplus,Upsilon_BFGS,Upsilon_Prox,Spectral,DDGFact,DDGFactplus,Upsilon_BFGS,Upsilon_Prox,Local Search,Spectral
63,2,1,0.285520354,0.216724234,0.216687528,0.092727715,1.454679685,0.4310273,0.442587,6.6364556,3.0590074,0.3898772,0.0155411
63,3,2,0.506849192,0.377696304,0.213533123,0.21189039,2.628504284,0.2273028,0.2311839,9.8072586,4.529308,0.1298534,0.000149
63,4,3,0.565020057,0.407400961,0.226351801,0.226224889,3.765417299,0.0335221,0.0194825,24.2224162,5.2646354,0.1521902,0.0001489
63,5,4,0.613818122,0.44179147,0.252185165,0.251981106,4.312918242,0.026426,0.0185537,14.9603799,5.4471472,0.1593945,0.0001389
63,6,5,0.660180752,0.471190262,0.471172638,0.474681511,4.807601545,0.0257062,0.0160822,8.5707289,2.0704665,0.1586495,0.0001455
