data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,use_t1_plus_bnb,recalibrate_k,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub,psi
63,32,16,15,DDGFactplus,general,primal,none,none,none,simple,true,,0.0,0.2769916490572015,9.9443162,4.221999883651733,3.296782200000001,3.296782200000001,0.0,0.04156309999999997,3.3496514000000017,6.790000000000002e-5,0.015282700000000052,0.0,1.0263994999999988,1.0263994999999988,261,338,253,591,409,252,true,false,0.34436996209637627,0.21821588475962125,NaN,-30.96077508210182,-30.96077508210182,-30.683783433044617,
63,32,16,15,DDGFactplusUpsilon,general,primal,prox_step,root,node,simple,true,1,0.0,0.1553297259677464,265.2731004,259.1099998950958,240.4615308,1.9415298999999997,238.52000089999993,0.031267899999999994,240.50664480000006,0.00017370000000000002,0.006568099999999983,0.0,24.401276100000008,24.401276100000008,162,264,124,388,321,26,true,false,0.26907298656498213,0.06889569398142757,NaN,-30.96077508210182,-30.96077508210182,-30.805445356134072,
63,32,16,15,DDGFactplusUpsilon,general,primal,prox_step,root,node,simple,true,2,0.0,0.1553297259677464,192.117302,190.260999917984,164.03217660000016,3.8175008000000004,160.21467580000015,0.04283860000000001,164.09277669999997,0.00022629999999999984,0.09455339999999995,0.0,27.733719800000017,27.733719800000017,237,388,168,556,443,67,true,false,0.3467704809572183,0.07715647483002551,NaN,-30.96077508210182,-30.96077508210182,-30.805445356134072,
63,32,16,15,DDGFactplusUpsilon,general,primal,prox_step,root,node,simple,true,3,0.0,0.1553297259677464,169.4022145,167.38000011444092,136.6521372999999,4.588225500000001,132.0639117999999,0.048329600000000014,136.7221527000002,0.00020220000000000017,0.008619400000000003,0.0,32.43490969999999,32.43490969999999,267,518,155,673,483,98,true,false,0.3395127450567621,0.11655180023302533,NaN,-30.96077508210182,-30.96077508210182,-30.805445356134072,
63,32,16,15,DDGFactplusUpsilon,general,primal,prox_step,root,node,simple,true,4,0.0,0.1553297259677464,159.2567398,157.1909999847412,119.6385875,6.130255900000003,113.5083316,0.09950040000000006,119.76508210000003,0.00022549999999999992,0.010190600000000029,0.0,39.26716880000002,39.26716880000002,335,668,192,860,579,166,true,false,0.350189513718977,0.14182367198054707,NaN,-30.96077508210182,-30.96077508210182,-30.805445356134072,
63,32,16,15,DDGFactplusUpsilon,general,primal,prox_step,root,node,simple,true,5,0.0,0.1553297259677464,136.946403,135.13000011444092,98.03491019999984,6.081588400000005,91.95332180000001,0.057316499999999986,98.11949760000005,0.00021800000000000004,0.00985139999999999,0.0,38.6651572,38.6651572,325,674,193,867,565,162,true,false,0.3437882696986101,0.17245021848483005,NaN,-30.96077508210182,-30.96077508210182,-30.805445356134072,
