data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,0.45322048796685266,1.0408410133611525,7217.6915909,7200.008000135422,6795.258081800267,6795.258081800267,0.0,104.6301581000088,7114.9857839002725,0.49107690000021265,23.593482700097397,177.4842167000043,10.548489700005089,188.0327064000094,1023134,2536699,753439,3290138,1108073,735505,false,true,1.4968786002372596,1.0612189022970455,0.7787331280160785,-22.96812911013585,-22.514908622168996,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,1,0.5699180146305451,0.6864917534285908,7214.665189,7201.427000045776,7140.639981600012,10.55624740000001,7130.083734200012,1.082906000000006,7141.915836000003,0.005994400000000046,0.19239679999999648,0.0,71.58060729999985,71.58060729999985,9124,1335,933,2268,9213,2732,false,true,1.4183800202667847,0.9074444260327275,0.589311413016528,-22.96812911013585,-22.398211095505303,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,2,0.535956658015543,0.6864917534285908,7208.9524042,7200.805999994278,7106.3403357000025,85.1355039999998,7021.204831699974,1.5623103000000083,7108.4264508999895,0.010139599999999862,0.4217354999999624,0.0,98.76276390000002,98.76276390000002,15349,2358,2115,4473,15531,5353,false,true,1.3637417556181148,0.9078211669929943,0.5379873951458087,-22.96812911013585,-22.432172452120305,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,4,0.5231693942485229,0.6864917534285908,7209.5392458,7201.300999879837,7057.3511643999955,203.3767160000004,6853.974448400003,3.305171299999966,7061.863382599991,0.01577019999999948,0.5349296999999523,0.0,145.14589049999984,145.14589049999984,25011,4848,6884,11732,25571,10912,false,true,1.436066838149582,0.9319425611057958,0.6230729860232245,-22.96812911013585,-22.444959715887325,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,6,0.5290971680297254,0.6864917534285908,7209.9025395,7201.349999904633,7014.724896300004,289.77130839999916,6724.953587900006,4.048331099999953,7020.8843052000375,0.019548599999999527,0.7242730999999917,0.0,185.29135860000127,185.29135860000127,33126,6471,9812,16283,33987,14652,false,true,1.5012003150792772,0.967035968757956,0.42290665233662494,-22.96812911013585,-22.439031942106123,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,8,0.5663389500808336,0.6864917534285908,7208.9852619,7200.925999879837,6982.803262900051,347.41022090000183,6635.393042000017,5.395311400000062,6990.366496400056,0.02223849999999967,0.7627125000000136,0.0,214.61011269999975,214.61011269999975,39070,5738,9894,15632,39831,16969,false,true,1.4981496338532665,1.0210434899319707,0.5316432450673538,-22.96812911013585,-22.401790160055015,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,bfgs,default,very_fast,simple,10,0.553178536662049,0.6864917534285908,7209.7736754,7201.480999946594,6874.82632059993,600.0278370999943,6274.798483499985,6.6044969000001235,6885.453064099984,0.033380300000000425,1.1640468000000472,0.0,318.78297170000224,318.78297170000224,60556,10300,15474,25774,62393,30327,false,true,1.7108038846167446,1.0246596610774121,0.5430234710966246,-22.96812911013585,-22.4149505734738,-22.281637356707257
63,32,16,12,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,1,0.42057419425988485,0.6849263037369653,7205.6206266,7202.013000011444,7164.080799000006,23.664610800000013,7140.416188199998,0.5171349000000004,7164.693446800011,0.0036677000000000133,0.09972809999999975,0.0,40.2717859999999,40.2717859999999,5097,1207,3001,4208,5201,304,false,true,0.9268694348846793,0.6774630825409119,NaN,-22.968129110135852,-22.547554915875967,-22.283202806398887
63,32,16,12,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,2,0.39702359164201084,0.6849263037369653,7203.5110887,7200.397000074387,7138.832293100028,104.6147744999999,7034.217518600015,0.8854113999999974,7140.062637699993,0.006222800000000022,0.17846899999999724,0.0,62.44977499999986,62.44977499999986,9088,1791,4868,6659,9317,1553,false,true,0.9767847793714921,0.7169720630215008,NaN,-22.968129110135852,-22.57110551849384,-22.283202806398887
63,32,16,12,DDGFactplusUpsilon,general,dual,ppa_one,root,node,simple,4,0.38593765801923396,0.6849263037369617,7205.6872684,7202.566999912262,7107.747930499993,219.8236168000007,6887.924313700012,1.5590981999999962,7110.226265199997,0.01026229999999991,0.3103951999999694,0.0,93.87914800000027,93.87914800000027,15235,3262,9461,12723,15817,4510,false,true,1.0812280271049381,0.7440819456943514,0.36527863881583045,-22.96812911013585,-22.582191452116614,-22.283202806398887
