,,,Gap,,,,Runtime,,,,,Var_Fixing,,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon,spec,ddgfact,ddgfact_plus,upsilon,ls,spec,ddgfact,plus_dual,plus_primal,plus_union,upsilon_dual,upsilon_primal,upsilon_union
90,2,1,0.221219407,0.205845776,0.169487076,1.339007584,0.5702228,0.4844633,52.0390355,1.4447166,0.038543,68,74,81,81,54,54,54
90,3,2,0.365786099,0.344752069,0.2502593,2.429719967,0.3056588,0.3629432,72.9654597,1.2703264,0.000668,55,58,59,59,43,43,43
90,4,3,0.376063888,0.343315507,0.251474986,3.621344031,0.0439306,0.0310049,98.876095,1.1464683,0.0007054,47,51,51,51,40,40,40
90,5,4,0.472173634,0.423846638,0.322610199,4.910764175,0.045804,0.0458228,136.3086647,1.0816589,0.0005981,15,31,31,31,27,27,27
90,6,5,0.503768947,0.450316848,0.342865416,5.96722511,0.0531917,0.0690621,169.4412119,1.4768435,0.001393,12,27,27,27,28,28,28
90,7,6,0.608467838,0.544041117,0.422076719,6.977726817,0.0882493,0.0486889,132.4002461,1.1884844,0.001282,3,10,10,10,11,11,11
90,8,7,0.682460567,0.606008938,0.469343948,7.657909648,0.101598,0.0872123,163.0499499,1.2471968,0.0007309,1,5,5,5,7,7,7
90,9,8,0.734678874,0.649107311,0.501086986,8.085314049,0.1161451,0.0770108,158.3039967,1.2636484,0.0007004,0,2,2,2,6,6,6
90,10,9,0.784884847,0.689598884,0.52713362,8.457544023,0.101173,0.1207481,145.9224046,1.2775456,0.0006861,0,1,1,1,3,3,3
90,11,10,0.815434604,0.710599217,0.53718459,8.725946516,0.1247886,0.0969374,195.0776749,1.439701,0.0005457,0,1,1,1,3,3,3
