n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact,n_fixed_ddgfact_plus,n_fixed_ddgfact_plus_upsilon_bfgs,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,1,1,-2.0027465907901387e-8,2.3231050882976945e-7,8.53852382132203e-8,1.7925460382232636,0.502931,0.4907317,2.3731404,0.9415882,0.0204753,61.0,61.0,63.0,-1.3625778345025745,-1.3625778545300404,-1.3625776021920657,-1.3625777491173363,0.42996820372068917,0.031745640422217065,0.03174783577618044,0.031747935776180444,1.0000000000287557e-7,0.9997939892798442,1.0002308422467543,0.0007966784781790287
63,2,2,0.12142879906426218,0.0930623723038555,0.03084771430505384,3.0514745844493296,0.3257264,0.2615298,8.3312901,0.1664214,0.0002253,50.0,53.0,52.0,-3.0907464971576726,-2.9693176980934104,-2.997684124853817,-3.0598987828526187,-0.03927191270834318,0.031745640422217065,0.05059834518318623,0.050598445183186236,1.0000000000287557e-7,0.4781424013937269,2.3518481922104137,2.657878393695084
63,3,3,0.1236584482443357,0.08961143155699958,0.022675248275609405,4.187102006981752,0.0681977,0.0398183,17.6412447,0.1584181,0.0001752,47.0,51.0,50.0,-4.841578301439288,-4.717919853194952,-4.751966869882288,-4.8189030531636785,-0.6544762944575357,0.031745640422217065,0.048852238786922665,0.04885233878692267,1.0000000000287557e-7,0.4682543715220111,2.504706824767164,2.861306885958449
63,4,4,0.13675382410478498,0.10182929209532254,0.030766740450644647,4.728428247116809,0.0629301,0.0545496,37.4948673,0.1493923,0.0001725,46.0,49.0,50.0,-6.625441242925261,-6.488687418820476,-6.523611950829938,-6.594674502474616,-1.8970129958084518,0.031745640422217065,0.04978400094243858,0.04978410094243858,1.0000000000287557e-7,0.4628548183650946,2.4864581421350307,2.9647763032631196
63,5,5,0.16496773212042015,0.12654402662773911,0.04402607099398459,5.222797890081224,0.0589324,0.0398665,31.5141222,0.1867274,0.000177,43.0,45.0,41.0,-8.444189404338342,-8.279221672217922,-8.317645377710603,-8.400163333344357,-3.2213915142571183,0.031745640422217065,0.05076183984979381,0.05076193984979381,1.0000000000287557e-7,0.4980408939764039,2.7644452209325605,2.9492745649863763
