n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_runtime
90,6,1,0.5908392103086513,0.5619137947036847,0.5619137797233087,0.7245186377099166,8.4656624,0.7346129,6.6045784
90,7,2,0.8356706219054821,0.7840358217584189,0.7840358137619976,1.4721741289423758,0.0898521,0.0487221,4.6610857
90,8,3,1.167438352101108,1.0862246769893815,1.086224662358319,2.675811825684164,0.078562,0.0603794,6.0647485
90,9,4,1.2313917046878267,1.1242225757820066,1.124222575779715,3.6015614248724503,0.0839682,0.049973,6.0469287
90,10,5,1.3230185306367588,1.1894489044159826,1.1894489044029513,4.477963275456354,0.1032762,0.0513407,5.9555918
90,11,6,1.513505850981332,1.3554739945166716,1.355473994489408,5.388322930967732,0.1218489,0.0551623,9.5061637
90,12,7,1.7731983303188414,1.5906682672805275,1.5906682672519068,6.073291215389325,0.1205755,0.0605143,10.8732721
90,13,8,1.9739291106411372,1.7634438842372404,1.763443813924603,6.500544235092953,0.1654768,0.107361,40.1268443
90,14,9,2.1392939319949065,1.9031286720065594,1.9031286719902099,6.8905863338430535,0.2108211,0.0914248,51.5675107
90,15,10,2.2698724828024694,2.012631217047911,2.0126312581923855,7.180899154622622,0.1374454,0.1170097,50.2879329
90,16,11,2.3727895537314936,2.094646414656509,2.094646414639186,7.4709872479430715,0.1190303,0.0713573,57.0013378
90,17,12,2.4309013469937923,2.126229566761623,2.126229566708247,7.691073656832103,0.1032003,0.0831286,57.9231678
90,18,13,2.5374399654716626,2.206345411315226,2.206345411299722,7.979983652212411,0.113871,0.1023962,79.3214001
90,19,14,2.6386596936708457,2.28443470091527,2.2844347009008175,8.238885436173987,0.1282613,0.0782167,87.6353254
90,20,15,2.6885881426784266,2.3126387418514724,2.312638741831975,8.328701722975083,0.1060845,0.083228,83.2354762
90,21,16,2.7427935424422714,2.3471819496072044,2.3471819495677835,8.428750474262245,0.1021359,0.0691626,94.8435743
90,22,17,2.769244281344939,2.3539702921281958,2.3539702921116543,8.453284260163116,0.1112817,0.442328,108.3049838
90,23,18,2.8083643015411894,2.372452766962823,2.3724527669404125,8.512469809226985,0.1519586,0.0765171,114.9554699
90,24,19,2.834898190021093,2.373357524882721,2.3733575248686662,8.524856449866505,0.1352052,0.0982363,107.8051818
