n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_original_gap,ddgfact_plus_upsilon_bfgs_t1_reform_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_original_runtime,ddgfact_plus_upsilon_bfgs_t1_reform_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs_original,z_ddgfact_plus_upsilon_bfgs_t1_reform,z_spec,bfgs_t1_reform_improvement_over_original,bfgs_t1_reform_runtime_saving,psi_bfgs_original,lambda_min_bfgs_original,feasibility_slack_bfgs_original,psi_bfgs_t1_reform,lambda_min_bfgs_t1_reform,feasibility_slack_bfgs_t1_reform,gamma_min_bfgs_original,gamma_max_bfgs_original,theta_norm_bfgs_original,gamma_min_bfgs_t1_reform,gamma_max_bfgs_t1_reform,theta_norm_bfgs_t1_reform
90,2,1,0.22121940727755351,0.2058457760787169,0.16460537105623008,0.1674286149225015,1.3390075841183897,0.4966277,0.4692903,14.388829,4.7204984,1.5131139,0.0193245,6.905407050957308,7.1266264582348615,7.111252827036025,7.070012422013538,7.0728356658798095,8.244414635075698,-0.0028232438662714188,9.668330599999999,44.83407837767174,44.83407847767174,1.0000000116860974e-7,42.3442584336792,42.3442585336792,1.0000000116860974e-7,0.5039511388010685,3.713781292016936,2.6984739572650516,0.49761400810828493,2.7921119734591238,2.368401069307962
90,3,1,0.30579614318389403,0.2847630209389669,0.21649819484345212,0.19655653348001767,1.04105829413035,0.0077324,0.0066306,8.9894507,3.792126,1.2579991,0.0003983,7.203356340945348,7.509152484129242,7.488119361884315,7.4198545357888,7.3999128744253655,8.244414635075698,0.01994166136343445,5.197324700000001,47.41034589968131,47.41034599968131,1.0000000116860974e-7,50.48957446342647,50.48957456342647,1.0000000116860974e-7,0.5306820906645201,3.0256375089095067,2.6447159407768708,0.49499866642401386,2.99385915815425,2.844332787290172
90,4,1,0.44060285028363744,0.4165429419203184,0.31001627911617025,0.31001688133207495,0.9033404631699664,0.0207345,0.0108573,7.7023677,3.023058,1.1405102,0.0011439,7.341074171905731,7.781677022189369,7.75761711382605,7.6510904510219016,7.651091053237806,8.244414635075698,-6.022159046992215e-7,4.6793097,50.74892782549522,50.748927925495224,1.0000000116860974e-7,50.74890675192368,50.74890685192368,1.0000000116860974e-7,0.5143843895343652,4.308920812813158,3.368571237375167,0.5143839663349541,4.308899258652855,3.368550015731422
90,5,1,0.5286083321544259,0.5021471992411479,0.4190508781876723,0.40206060465380133,0.7975983096259869,0.0186943,0.0095661,17.2695258,4.9369258,1.2240544,0.0004389,7.446816325449711,7.975424657604137,7.948963524690859,7.865867203637383,7.848876930103512,8.244414635075698,0.016990273533870948,12.3326,48.68763908127621,48.68763918127621,1.0000000116860974e-7,51.41971346245045,51.419713562450454,1.0000000116860974e-7,0.5934834011889769,3.196262307455923,2.8195244704508364,0.5440077094827125,3.6245243913721352,3.125130791531679
90,6,1,0.5908396027234915,0.5619137420180049,0.47572893620503276,0.47785470817335884,0.7245186377099166,0.0089543,0.0078433,9.0915988,5.1705815,1.2935337,0.0004365,7.519895997365781,8.110735600089273,8.081809739383786,7.995624933570814,7.99775070553914,8.244414635075698,-0.0021257719683260845,3.9210173,50.379174065208694,50.379174165208696,1.0000000116860974e-7,49.88894053737015,49.888940637370155,1.0000000116860974e-7,0.6703385241144308,3.4476138671416576,2.75257393030936,0.6823291442155733,3.230227589360676,2.622607620974559
90,7,1,0.6378014819778617,0.6067393858356294,0.5218455587853761,0.5220664094859728,0.6593484576390445,0.0088364,0.0075098,9.5343241,3.9711523,1.2080078,0.0004143,7.585066177436653,8.222867659414515,8.191805563272283,8.10691173622203,8.107132586922626,8.244414635075698,-0.00022085070059674194,5.563171799999999,48.81053861795373,48.81053871795373,1.0000000116860974e-7,49.8375317779518,49.837531877951804,1.0000000116860974e-7,0.6928375587380453,3.900250282922247,2.6725545486575126,0.7124144601325679,3.4792065213978614,2.6576912170739044
90,8,1,0.6750079424946964,0.642141918497785,0.5548543669640615,0.5549673975229972,0.5979581800850369,0.0091551,0.0077129,20.6658634,5.919546,1.1790711,0.0004266,7.646456454990661,8.321464397485357,8.288598373488446,8.201310821954722,8.201423852513658,8.244414635075698,-0.00011303055893563396,14.746317399999999,49.51617900485907,49.51617910485907,1.0000000116860974e-7,49.47117729316837,49.47117739316837,1.0000000116860974e-7,0.714782248500318,3.855556773297886,2.833709001287938,0.715639556119191,4.017612312393055,2.7621320632568906
90,9,1,0.7017819059924078,0.6673416408048327,0.5782141675508727,0.5794318467489701,0.5372051259950128,0.0095094,0.0080748,15.3094352,9.2326985,1.2389807,0.0004865,7.707209509080685,8.408991415073093,8.374551149885518,8.285423676631558,8.286641355829655,8.244414635075698,-0.0012176791980973434,6.0767367,48.374812251488564,48.374812351488565,1.0000000116860974e-7,48.390297138249615,48.390297238249616,1.0000000116860974e-7,0.7255339722464719,3.9535411548734065,2.6513987488471504,0.7152903928094081,4.2871397728349585,2.6882899065374746
90,10,1,0.7201926822943499,0.6842533295220719,0.597385118184441,0.5980230262010462,0.4796941952246705,0.010001,0.0084677,15.6686375,10.2603437,1.2879506,0.0004362,7.764720439851027,8.484913122145377,8.448973769373099,8.362105558035468,8.362743466052073,8.244414635075698,-0.0006379080166052375,5.408293800000001,48.34644163912832,48.34644173912832,1.0000000116860974e-7,49.03846886868926,49.03846896868926,1.0000000116860974e-7,0.7445030103652556,3.5254349552250086,2.5511566417362315,0.7378169169867674,3.337921687463947,2.5721621513476904
90,11,1,0.7364478033391615,0.6991847440561836,0.631569186401415,0.6190869346193333,0.4261004924507281,0.0099489,0.0085818,26.936768,11.0019161,1.265408,0.0004144,7.81831414262497,8.554761945964131,8.517498886681153,8.449883329026385,8.437401077244303,8.244414635075698,0.012482251782081732,15.9348519,43.22871834345144,43.22871844345144,1.0000000116860974e-7,47.04736788389483,47.04736798389483,1.0000000116860974e-7,0.8075598891452498,2.932616153970079,2.1312521056195486,0.7967204613535942,2.9335316284677697,2.2335955246397465
90,12,1,0.7461852882535114,0.7077614065613682,0.6616897000654562,0.6687356587983695,0.3706276815225644,0.0102977,0.0087481,37.9556271,13.5206693,1.2941599,0.0004338,7.873786953553133,8.619972241806645,8.581548360114502,8.53547665361859,8.542522612351503,8.244414635075698,-0.007045958732913249,24.4349578,37.398367319428274,37.398367419428276,1.0000000116860974e-7,34.677320424909226,34.67732052490923,1.0000000116860974e-7,0.8607895731275802,2.1451798364806853,1.4277889152684724,0.8657115710999116,2.6160820397868267,1.5007750445455654
