n,s,t,ddgfact_gap,ddgfact_plus_gap,upsilon_bfgs_gap,upsilon_ppa_one_gap,upsilon_ppa_full_gap,spectral_gap,ddgfact_runtime,ddgfact_plus_runtime,upsilon_bfgs_runtime,upsilon_ppa_one_runtime,upsilon_ppa_full_runtime,local_search_runtime,spectral_runtime,upsilon_bfgs_improved,upsilon_bfgs_fallback_used,upsilon_bfgs_fallback_count,upsilon_bfgs_final_oracle,ppa_one_improved,ppa_one_iters,ppa_one_stop_reason,ppa_one_knitro_status,ppa_one_knitro_primal_status,ppa_one_subproblem_acceptable,ppa_full_improved,ppa_full_iters,ppa_full_stop_reason,ppa_full_knitro_status,ppa_full_knitro_primal_status,ppa_full_subproblem_acceptable,relax_knitro_opttol,relax_knitro_feastol,bfgs_grad_tol,bfgs_step_tol,ppa_rho,ppa_grad_tol,ppa_prox_obj_abs_tol,ppa_prox_step_tol,ppa_knitro_opttol,ppa_knitro_feastol,ppa_knitro_xtol,ppa_knitro_ftol,upsilon_bfgs_gamma_norm,upsilon_bfgs_gamma_norm_inf,upsilon_bfgs_theta_norm,upsilon_bfgs_theta_norm_inf,upsilon_ppa_one_gamma_norm,upsilon_ppa_one_gamma_norm_inf,upsilon_ppa_one_theta_norm,upsilon_ppa_one_theta_norm_inf,upsilon_ppa_full_gamma_norm,upsilon_ppa_full_gamma_norm_inf,upsilon_ppa_full_theta_norm,upsilon_ppa_full_theta_norm_inf,ppa_one_cache_size,ppa_one_num_objective_oracle_requests,ppa_one_num_objective_cache_hits,ppa_one_objective_cache_hit_rate,ppa_one_num_objective_solves,ppa_one_num_subgradient_requests,ppa_one_num_subgradient_cache_hits,ppa_one_subgradient_cache_hit_rate,ppa_one_num_subgradient_evals,ppa_full_cache_size,ppa_full_num_objective_oracle_requests,ppa_full_num_objective_cache_hits,ppa_full_objective_cache_hit_rate,ppa_full_num_objective_solves,ppa_full_num_subgradient_requests,ppa_full_num_subgradient_cache_hits,ppa_full_subgradient_cache_hit_rate,ppa_full_num_subgradient_evals
63,2,1,0.2855203538847346,0.21672423402435204,0.09243221402807644,0.09204814026544994,0.09203532097772282,1.4546796845492647,8.0897718,0.5015998,11.3355648,5.4825229,5.4221808,1.4036736,0.018868,true,false,0,original,true,1,completed_k_iterations,SLOW_PROGRESS,FEASIBLE_POINT,true,true,4,prox_obj_and_step_tol,SLOW_PROGRESS,FEASIBLE_POINT,true,1.0e-8,1.0e-5,0.01,1.0e-8,1000.0,0.01,1.0e-8,1.0e-8,0.01,1.0e-6,0.0001,1.0e-5,8.613821489757981,1.7891003800482124,2.3226165124637124,0.5817129125378601,8.527601170365354,1.8028189749333867,2.148725250889778,0.5893515370360033,8.527601771335993,1.8028189763867473,2.1487260085995987,0.5893515378421632,325,651,326,0.500768049155146,325,326,2,0.006134969325153374,324,424,892,468,0.5246636771300448,424,448,25,0.05580357142857143,423
63,3,2,0.506849191718401,0.3776963044372206,0.21279878630134919,0.21283864104923156,0.21283770625842724,2.6285042839927746,0.3930265,0.569777,20.9447031,6.2279726,8.8449101,0.1360411,0.0001582,true,false,0,original,true,1,completed_k_iterations,SLOW_PROGRESS,FEASIBLE_POINT,true,true,3,prox_obj_and_step_tol,SLOW_PROGRESS,FEASIBLE_POINT,true,1.0e-8,1.0e-5,0.01,1.0e-8,1000.0,0.01,1.0e-8,1.0e-8,0.01,1.0e-6,0.0001,1.0e-5,8.430171960926645,1.6666512567956269,1.899291812712987,0.510816377800623,8.427277463158141,1.8035413130299576,1.9172809992583426,0.5897521282407375,8.427277466104007,1.8035413130306575,1.9172810047609354,0.5897521282410568,157,315,158,0.5015873015873016,157,158,2,0.012658227848101266,156,223,481,258,0.5363825363825364,223,242,20,0.08264462809917356,222
63,4,3,0.5650200573699395,0.4074009607190554,0.2266172354765752,0.22664833184408373,0.22659172718690357,3.765417298825742,0.0357486,0.0201243,14.4388837,6.2750046,14.5632888,0.1268871,0.0001407,true,false,0,original,true,1,completed_k_iterations,SLOW_PROGRESS,FEASIBLE_POINT,true,true,5,prox_obj_and_step_tol,SLOW_PROGRESS,FEASIBLE_POINT,true,1.0e-8,1.0e-5,0.01,1.0e-8,1000.0,0.01,1.0e-8,1.0e-8,0.01,1.0e-6,0.0001,1.0e-5,8.384357106443293,1.6364248071413097,1.8229603821865292,0.4925138665410108,8.4074165652982,1.7363200565373953,1.8553847857865267,0.5517679636099965,8.407416679200864,1.7363200603608242,1.8553851646385187,0.5517679658121218,147,295,148,0.5016949152542373,147,148,2,0.013513513513513514,146,311,669,358,0.5351270553064275,311,337,27,0.08011869436201781,310
63,5,4,0.6138181223720123,0.4417914695274616,0.2521228337241812,0.25212450631519356,0.25210540964019224,4.3129182419840815,0.0330085,0.0211957,16.8236272,5.7260994,9.3598066,0.1648279,0.0001691,true,false,0,original,true,1,completed_k_iterations,SLOW_PROGRESS,FEASIBLE_POINT,true,true,3,prox_obj_and_step_tol,SLOW_PROGRESS,FEASIBLE_POINT,true,1.0e-8,1.0e-5,0.01,1.0e-8,1000.0,0.01,1.0e-8,1.0e-8,0.01,1.0e-6,0.0001,1.0e-5,8.394889672047158,1.6563313318785418,1.83197576005769,0.5046051155866075,8.348767062646289,1.683102758846035,1.7528850018704394,0.520638970294285,8.348766997527656,1.6831027599041102,1.7528848836009234,0.5206389709229307,146,293,147,0.5017064846416383,146,147,2,0.013605442176870748,145,213,443,230,0.5191873589164786,213,223,11,0.04932735426008968,212
63,6,5,0.6601807515487481,0.47119026212415704,0.28558850639104794,0.2857298651431286,0.2856135308094263,4.807601544662485,0.0261956,0.0173509,18.1300893,5.0860385,12.9313811,0.1526031,0.0001338,true,false,0,original,true,1,completed_k_iterations,SLOW_PROGRESS,FEASIBLE_POINT,true,true,6,prox_obj_and_step_tol,SLOW_PROGRESS,FEASIBLE_POINT,true,1.0e-8,1.0e-5,0.01,1.0e-8,1000.0,0.01,1.0e-8,1.0e-8,0.01,1.0e-6,0.0001,1.0e-5,8.373674701302983,1.630683231427419,1.778244713415501,0.488999087380417,8.323206584684783,1.6721847748739966,1.7055928605457698,0.5141310198448629,8.323211602215332,1.6721847874328666,1.7056025197156854,0.5141310273553187,121,243,122,0.5020576131687243,121,122,2,0.01639344262295082,120,314,656,342,0.5213414634146342,314,331,18,0.054380664652567974,313
