,,,Gap,,,,,,Runtime,,,,,,
n,s,t,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_ppa_one,upsilon_ppa_full,spectral,ddgfact,ddgfact_plus,upsilon_bfgs,upsilon_ppa_one,upsilon_ppa_full,local_search,spectral
63,5,1,0.605385375,0.482686314,0.288468261,0.288091347,0.288090057,0.940316169,8.0334246,0.4823982,10.3525589,4.0980556,3.9867352,1.3867688,0.0189655
63,6,2,1.05543594,0.842044174,0.550083258,0.549959662,0.549931409,1.911396252,0.3589587,0.2034755,9.5546321,6.2713429,11.6899959,0.198663,0.0001521
63,7,3,1.389738555,1.073073575,0.683545173,0.683590858,0.68350659,2.96037078,0.0297498,0.0157529,14.0732722,5.8515408,16.4258406,0.1564005,0.000136
63,8,4,1.613122508,1.214742933,0.780746805,0.780158094,0.780138596,3.464832059,0.0222338,0.0128335,11.4502155,5.8915486,14.1333248,0.18522,0.0001641
63,9,5,1.740086261,1.277707346,0.839929287,0.839360502,0.839317806,3.93054711,0.038583,0.0188034,10.7124432,6.736454,14.2448138,0.176272,0.0001482
