n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_runtime
90,1,1,1.0008626727397996e-7,2.3153752870541666e-7,9.667691713843851e-8,1.788306893967997,8.5518267,0.685732,6.1390692
90,2,2,0.017997174572951025,0.01712583613223906,0.017119087577764702,2.886973303650347,0.0841816,0.0676875,4.7381249
90,3,3,0.0629529943878886,0.05633578891025337,0.05628911571682593,4.111916084785733,0.0696817,0.0614512,4.9119721
90,4,4,0.12942219303446478,0.11670122300758479,0.11660070003250311,5.424414343602589,0.1355112,0.0982012,7.2486755
90,5,5,0.13208627986933408,0.11871184474136243,0.11854842330078696,6.480836298850342,0.1077814,0.1160091,9.2156533
90,6,6,0.2086759558372151,0.18640806130626686,0.1862150058515155,7.491330802371898,0.1309001,0.0849661,7.1498069
90,7,7,0.26438503080957787,0.23419994794600996,0.23398870433580043,8.171511548758232,0.1579362,0.1678267,8.074625
90,8,8,0.3080791438555721,0.2722904024312811,0.2720581632899126,8.598915949199423,0.1508784,0.1252807,8.8000762
90,9,9,0.35262992551399464,0.3100773673659063,0.3098099100606291,8.971145746892411,0.1445335,0.1601642,10.6291251
90,10,10,0.378511682949636,0.3294696300846027,0.3291792334107271,9.239497771540229,0.1379461,0.1267266,8.639775
90,11,11,0.4040179384105045,0.3478130699257065,0.3474975984095323,9.524193368056501,0.1354379,0.1106651,7.8627823
90,12,12,0.4039990866655643,0.34169023909713303,0.341382344140456,9.748106734819743,0.2069479,0.133129,9.2279044
90,13,13,0.3800046874672205,0.3110392529550978,0.31072546900838915,9.95349624266828,0.1200187,0.1353454,7.3518932
90,14,14,0.3730489850659495,0.2966603248259787,0.2963426032413281,10.146611046121706,0.1219032,0.1317712,8.0932866
90,15,15,0.43058532104370784,0.3492720301558734,0.34894080645128156,10.276818910925584,0.1171143,0.113723,6.731028
90,16,16,0.49449218717060717,0.40931578181393036,0.4089955951581743,10.40927440027761,0.138697,0.1407801,6.8757388
90,17,17,0.553956816814221,0.45995594022147657,0.4596143741662786,10.485095683309368,0.0974381,0.100258,7.7358435
90,18,18,0.5940956730749747,0.49136340132409373,0.4909946917186119,10.565533009711316,0.109767,0.101954,7.5728384
90,19,19,0.6147627573253089,0.5071712255696923,0.5067692649239746,10.59142985889369,0.2162041,0.2171833,7.9917164
90,20,20,0.63637539271393,0.5246596166891635,0.5242169229250351,10.63697204894217,0.1214295,0.120217,8.1297912
90,21,21,0.6625417272995122,0.5443798634129138,0.5439083781069058,10.695695696200758,0.1535476,0.1303934,8.0711028
90,22,22,0.6852734917035264,0.5610875000754163,0.5605701248096153,10.733133940187145,0.1487463,0.1440744,7.9740365
90,23,23,0.7244072734232248,0.5940350367069698,0.5934940947288396,10.789773900455884,0.1759011,0.136295,8.1639396
90,24,24,0.746760829693244,0.6105345823846449,0.6099817680494084,10.80320044341974,0.1709965,0.1106688,8.0924154
90,25,25,0.7670863984008065,0.6258234874624691,0.6252454993505694,10.829268217466819,0.1569311,0.1153849,6.9131634
90,26,26,0.7697805029546316,0.6244274206458158,0.6238154612003086,10.840990421924971,0.2053441,0.1320356,9.9036674
90,27,27,0.7834876903077657,0.6333985450821444,0.6327707001550493,10.872660653868707,0.152013,0.12024,9.8254425
90,28,28,0.7971970680541176,0.6427866867791181,0.6421671092257668,10.888811599202626,0.1682546,0.1074513,8.3508102
90,29,29,0.8119328228238203,0.6543379332358938,0.6537316163235687,10.889820789226661,0.1896372,0.1239811,10.4585227
90,30,30,0.8411165136294017,0.6797621122392741,0.6791560493695386,10.83531056743766,0.1954979,0.1196261,8.1553701
90,31,31,0.865015873453018,0.6990769816232216,0.6984619255374866,10.783078541643135,0.206159,0.1187787,8.7180499
90,32,32,0.8873021847057316,0.7155937965093813,0.7149637165259719,10.703661513185352,0.2576437,0.1205727,8.6401043
90,33,33,0.9022296751678596,0.7243039894445644,0.7236477884065948,10.612541353259473,0.2249883,0.20481,10.6218561
90,34,34,0.9117416848243636,0.7266795926773,0.7259923491658071,10.494802764391835,0.2312673,0.1481867,9.6383752
90,35,35,0.9067920843551178,0.7135564488619934,0.7128390785703687,10.37400353494914,0.2049981,0.1418354,8.0786069
90,36,36,0.9085994101432391,0.7070793462541758,0.7063432344172327,10.263298141384752,0.2512763,0.1330736,8.1583043
90,37,37,0.8997347918732999,0.6905933536679925,0.6898480068990409,10.157243267046937,0.4015786,0.2244714,8.7065511
90,38,38,0.9109767162287028,0.6946347038894203,0.6938667507808987,10.063790473889242,0.2071269,0.1170731,7.7064311
90,39,39,0.9314748962512169,0.7089059709157652,0.7081120096014786,9.980100872006147,0.249124,0.1437183,10.578069
90,40,40,0.9428477417086469,0.7154094786059488,0.7145989072623422,9.870016396595048,0.4588318,0.2224968,9.9429203
90,41,41,0.9495104517382345,0.7178948605505866,0.7170646300136525,9.739601310117308,0.212404,0.1143358,7.5196917
90,42,42,0.9610174922652845,0.7262495376706397,0.7253974886377534,9.580291321375483,0.2129621,0.1141704,8.6581137
90,43,43,0.9647199412100917,0.7280881619938384,0.7272296460025984,9.416656386273075,0.1795581,0.1129099,7.538152
90,44,44,0.9733764892387455,0.7348359046001747,0.7339593552699455,9.260705381879689,0.177408,0.1057646,7.2032476
90,45,45,0.971022506933167,0.7299855211599038,0.7291045386355677,9.098012365902434,0.242878,0.1579772,10.56883
90,46,46,0.9592936824456899,0.7161638889446635,0.7152935766163182,8.914040371644717,0.1953432,0.132693,7.4190283
90,47,47,0.9532716285384311,0.708651192208805,0.7077789700657604,8.735091407280862,0.282511,0.1632813,9.2749101
90,48,48,0.9481205389027707,0.7016929147099518,0.7008099566589294,8.558691350545928,0.1862736,0.1075312,6.7556662
90,49,49,0.9343674244227884,0.6851499977284163,0.6842669092735321,8.380185855998462,0.151472,0.1070561,8.2551037
90,50,50,0.9395612457176412,0.687755733810377,0.6868813812767485,8.227301777445973,0.1944296,0.1052321,7.747775
90,51,51,0.9401292199839304,0.6862328929829005,0.6853592901651382,8.06309724087697,0.1659737,0.0928092,7.181436
90,52,52,0.9316435725623933,0.6757977077463124,0.6749249409616027,7.895471682319112,0.1903275,0.0953345,6.291838
90,53,53,0.92776201984924,0.6692598132457874,0.6683965962363914,7.746011889187514,0.1708567,0.1090487,8.1110719
90,54,54,0.9353789663898624,0.6735298233476215,0.6726605234346152,7.584663662091316,0.1730866,0.112924,6.4767632
90,55,55,0.9300432837374046,0.6640920381846058,0.6631903326672273,7.40361984505148,0.1160722,0.0699269,5.1651655
90,56,56,0.9151942034397962,0.6450730725510425,0.644164351046868,7.219122776825486,0.1030904,0.0788281,5.7861721
90,57,57,0.9170450740444949,0.6443511368220811,0.6434646892551541,7.061971292602891,0.1016782,0.0764838,5.008555
90,58,58,0.9047569505275419,0.6323486211637146,0.6314727996655733,6.898585405956965,0.1262239,0.0724942,5.5537574
90,59,59,0.8912789814860389,0.6220881423892592,0.6212038058278608,6.736179394503438,0.1249321,0.0726247,7.8380539
90,60,60,0.8762830584205403,0.6109635330082028,0.6100932984758174,6.5364252101506395,0.1386238,0.0851839,6.0223167
90,61,61,0.8590445114533054,0.5970364348270323,0.5961703807553818,6.339481444816329,0.1138236,0.0926065,4.8829981
90,62,62,0.852951015443125,0.5949520476798966,0.5941098479573839,6.166372343764465,0.3096577,0.0719304,5.4176873
90,63,63,0.8425799336675368,0.587479972295796,0.5866904972260727,5.992997507399707,0.118127,0.0742798,4.9567526
90,64,64,0.8332871686853878,0.5800111775765231,0.5792696940196151,5.791129556815349,0.1419055,0.0696483,5.1209307
90,65,65,0.811101014585347,0.5589707379774609,0.558224327325604,5.5877677177088,0.141704,0.0850086,5.6029753
90,66,66,0.8024334149052379,0.5505845222851917,0.5498201881665068,5.394250878703588,0.1452847,0.0832738,5.5097874
90,67,67,0.7790839141027277,0.5279158577452563,0.5271655134383764,5.167493685253646,0.1346725,0.0762029,6.1281771
90,68,68,0.7416158207375929,0.49252563783880987,0.49178234988153235,4.920499068036406,0.3247434,0.0806566,5.7677651
90,69,69,0.7101990876815876,0.4640438624201124,0.46329884673201605,4.677966715531113,0.1533532,0.0855665,5.5136816
90,70,70,0.7025430130436234,0.4580988428491537,0.45732146360762727,4.473837274024731,0.2033536,0.0995831,5.3538317
90,71,71,0.6874255918231142,0.4434412952847424,0.44265273374981007,4.269468732262453,0.2288628,0.0695694,5.0771398
90,72,72,0.6517326554522924,0.41004551315148774,0.40922684093374073,4.064519959033078,0.1178572,0.0772555,6.7265753
90,73,73,0.6014272689021709,0.36456215989255725,0.3637067331524122,3.865186546059874,0.1543133,0.0834114,6.9424037
90,74,74,0.5748164213667906,0.34450118146423847,0.34360889118693194,3.6972427933129666,0.1991742,0.0816162,6.1619968
90,75,75,0.5356314931274255,0.31565475126723186,0.3147866823069876,3.4596231935594233,0.2960919,0.0924514,5.5668019
90,76,76,0.5117103284409268,0.30180425166713576,0.30097334380474194,3.234488969131519,0.1378688,0.0915654,7.3019534
90,77,77,0.4817446526147364,0.27973043469290815,0.2789694642505651,3.0189546083149708,0.1367997,0.0703732,5.9771607
90,78,78,0.4311716657379634,0.23518999347595582,0.2344504979093358,2.788460716900147,0.1352355,0.0800485,5.3436139
90,79,79,0.3992981078204707,0.20967525193367464,0.20896186578249853,2.5806202648648764,0.1353175,0.0844458,5.6440787
90,80,80,0.35775755924316854,0.17470762046087884,0.1740239051201229,2.367859215741987,0.1204254,0.0698958,8.0626003
90,81,81,0.3303562354433893,0.1594301249949126,0.15874124111485344,2.153004300756038,0.1302374,0.0759998,6.5962703
90,82,82,0.2999325120924823,0.14612189177324808,0.14546797769730802,1.9373755548645022,0.2189331,0.0675283,5.9907109
90,83,83,0.28793166604032194,0.14740040383645692,0.14671594058864912,1.7506502600088538,0.1119576,0.0619666,7.3765846
90,84,84,0.24186006489293277,0.11196665016240104,0.11130312313343893,1.5229217836609905,0.1124883,0.0639287,4.9941789
90,85,85,0.20536855174560742,0.09763607996490009,0.09697933974672424,1.3026930791165228,0.1398586,0.0616392,4.8052399
90,86,86,0.1260256760819516,0.04339657311504652,0.042791742038446046,1.0656655865135463,0.0985794,0.064624,5.5128788
90,87,87,0.06621154546172647,0.004299957013927269,0.00385301396045179,0.7971798152935321,0.2380286,0.0640578,4.1969614
90,88,88,0.07197624201290864,-2.669520995368657e-7,-6.306800059974194e-8,0.5267423603887096,0.0857937,0.040313,4.3472203
