data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,true,0.4465246607004971,1.0408410133611525,7217.8114627,7200.005000114441,6806.086397400004,6813.60383750029,0.0,96.32401760000559,7116.7386174003195,0.5433153999999676,23.074222300041395,170.39436569997943,10.247890100008222,10.247890100008222,1055534,2656689,796484,3453173,1148243,767096,false,true,1.4968786002372596,1.0582447998121451,0.7787331280160785,-22.96812911013585,-22.52160444943535,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.0,0.7305753746071666,7058.1973692,7054.319000005722,663.6306699000002,663.6306699000002,6258.573281299918,44.23474420000407,7025.086883200711,0.21944319999961598,8.874920400018468,55.262692399994656,4.245553599999506,4.245553599999506,352103,155838,284849,440687,667003,218649,true,false,1.1918090136304897,0.6727086914147812,0.3942847227379005,-22.96812911013585,-22.96812911013585,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,2,true,0.0,0.7305753746071666,6220.0654828,6219.871999979019,2247.3611339000076,2247.3611339000076,3804.311098799969,53.689710500003734,6180.208205100721,0.3009906000006764,11.278355099982136,65.59758159999575,2.8582640999993694,2.8582640999993694,387301,222559,330702,553261,738823,334143,true,false,1.2836897220822223,0.6862137601407104,0.3874285362186001,-22.96812911013585,-22.96812911013585,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,4,true,0.0,0.7305753746071666,6509.5302121,6509.364000082016,3686.561397999945,3686.561397999945,2602.033577599977,66.68155669999626,6456.579788101638,0.40440810000104344,15.143422499949338,84.95447109999067,3.57320839999968,3.57320839999968,471663,260732,356466,617198,909355,464698,true,false,1.3385632846300979,0.7090098630746576,0.4424268988647029,-22.96812911013585,-22.96812911013585,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,6,true,0.0,0.7305753746071666,7099.7245753,7099.563999891281,4727.160914800006,4727.160914800006,2105.1529232000144,82.30177059998194,7036.8506122022845,0.4897320000008642,17.352684499949028,101.16659359998134,4.244912900000028,4.244912900000028,555884,283693,391635,675328,1078673,574664,true,false,1.321197804657512,0.7293786369254693,0.48722021291031936,-22.96812911013585,-22.96812911013585,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,8,true,0.022977905256276188,0.7305753746071666,7200.1632129,7200.003000020981,5399.262910000091,5399.262910000091,1509.606880799976,90.39815529997755,7131.814884402963,0.5178835999999782,20.16086260000059,108.74795439997766,4.745362000000714,4.745362000000714,617435,285181,386838,672019,1112915,602709,false,true,1.3484580510056077,0.7463376461227679,0.4595056678354865,-22.96812911013585,-22.945151204879572,-22.23755373552868
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,10,true,0.0558460478619196,0.7305753746071666,7200.2172193,7200.000999927521,5024.091325499812,5024.091325499812,1903.3390321999766,80.84291989997448,7137.284734702257,0.47786639999982067,17.29992999996354,106.00673939997584,4.652015999999998,4.652015999999998,601617,285122,465186,750308,1017397,531415,false,true,1.294387695779644,0.7629554051871434,0.48341514044734524,-22.96812911013585,-22.91228306227393,-22.23755373552868
