n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,ddgfact_plus_upsilon_prox_bfgs_gap,spectral_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,ddgfact_plus_upsilon_prox_bfgs_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_ddgfact_plus_upsilon_prox_bfgs,z_spec,prox_bfgs_prox_obj,prox_bfgs_prox_grad_norm,prox_bfgs_iterations,prox_bfgs_num_evals,prox_bfgs_best_iteration,prox_bfgs_status
63,2,1,0.2855203538847346,0.21672423402435204,0.09264394169374557,0.09207853306613256,0.0986311111990068,1.4546796845492647,8.2519734,0.7463324,9.6652283,6.8223179,3.046386,1.0138658,0.0177581,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.93206753913483,-0.932632947762443,-0.9260803696295687,0.42996820372068917,-0.9240437847178175,0.6774476615855086,74,166,74,small_step
63,3,2,0.506849191718401,0.3776963044372206,0.21280792627564438,0.21281627232037348,0.21282878417945073,2.6285042839927746,0.2863924,0.2517244,15.3477041,5.2665751,5.0281216,0.1313186,0.0001467,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.454968270425473,-2.454959924380744,-2.454947412521667,-0.03927191270834318,-2.453184450887683,0.49015978619273104,55,118,55,small_obj_change
63,4,3,0.5650200573699395,0.4074009607190554,0.22661844232105732,0.22670635533807015,0.22663593271028493,3.765417298825742,0.0384394,0.020429,15.3824389,5.6152706,6.9815743,0.1407631,0.0001602,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.19327515096222,-4.1931872379452075,-4.193257660572993,-0.6544762944575357,-4.191703854226699,0.4827912158069271,56,126,56,small_step
63,5,4,0.6138181223720123,0.4417914695274616,0.2521788882248224,0.25216898053065684,0.2524414316448862,4.3129182419840815,0.0379917,0.0204065,19.6270893,6.8993909,6.9883608,0.1430637,0.0001456,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957752349567711,-5.9577622572618765,-5.957489806147647,-1.8970129958084518,-5.955883568097279,0.5816554030873505,67,138,67,small_obj_change
63,6,5,0.6601807515487481,0.47119026212415704,0.2855984655985031,0.2857294876003085,0.2860131347009478,4.807601544662485,0.0223878,0.0188516,20.5131578,5.7522016,4.2377583,0.1626166,0.0001471,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.7433945933211,-7.743263571319295,-7.742979924218655,-3.2213915142571183,-7.741567033374074,0.5725683892709226,41,92,41,small_obj_change
