data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,true,0.46931407092942123,1.0408410133611525,7218.4094911,7200.055000066757,6792.192519000394,6800.3837850005275,0.0,99.64723760001097,7113.353319400492,0.5410194999997798,25.539994600046747,173.70149119999112,11.518674800009002,11.518674800009002,939383,2218642,652452,2871094,1007677,658411,false,true,1.4968786002372596,1.0686636616077811,0.7787331280160785,-22.96812911013585,-22.498815039206427,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.2144566265571548,0.7297262466384637,7204.8738045,7200.0599999427795,355.12638649999633,355.12638649999633,5964.131273199913,17.195297400000275,6365.790719800038,0.0946670000000328,2.866448800002103,27.18544809999994,826.9079671999993,826.9079671999993,157724,63454,194210,257664,208483,27446,false,true,1.0947819505641583,0.6954761624817907,0.4331536025745386,-22.96812911013585,-22.753672483578693,-22.238402863497384
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,2,true,0.1640062891007119,0.7297262466384637,7200.2954164,7200.050999879837,1415.6476505999974,1415.6476505999974,4625.649870500013,28.100994500002475,6120.228891800242,0.14278920000005105,5.1026725000039495,44.13193529999964,1060.203891299989,1060.203891299989,237052,144159,262443,406602,311121,114653,false,true,1.2277867944315375,0.7082154825201411,0.44428460030447425,-22.96812911013585,-22.804122821035136,-22.238402863497384
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,4,true,0.14986466383840735,0.7297262466384637,7200.231374,7200.013999938965,2407.9709229000714,2407.9709229000714,3412.478928700006,37.999873200001105,5928.7642554000295,0.194897300000063,7.316508300006468,58.111523599999366,1243.5268891999692,1243.5268891999692,300194,196886,298815,495701,404427,196418,false,true,1.3194600118917421,0.7288136289624328,0.4494902864706951,-22.96812911013585,-22.81826444629744,-22.238402863497384
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,6,true,0.1522313821370389,0.7297262466384637,7200.2507859,7200.006000041962,3022.3354597000157,3022.3354597000157,2655.14592109999,46.07079769999993,5805.635403099971,0.22053240000005406,9.083442400009314,67.16052139999769,1361.3316255999873,1361.3316255999873,339733,226295,321447,547742,467701,248006,false,true,1.2549586548759812,0.7484985426424448,0.42770499135309237,-22.96812911013585,-22.81589772799881,-22.238402863497384
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,8,true,0.15260111527375742,0.7297262466384637,7200.2614959,7200.006000041962,3476.023910100062,3476.023910100062,2091.4933922000173,52.83643639999868,5718.260827300246,0.24378439999999646,9.925810300008672,79.4852714999974,1445.9537608999744,1445.9537608999744,368319,246857,320766,567623,519503,290158,false,true,1.248612252139452,0.763872874919317,0.4562831141509065,-22.96812911013585,-22.81552799486209,-22.238402863497384
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,10,true,0.19702931168777127,0.7297262466384637,7200.2872299,7200.016000032425,3193.722380200032,3193.722380200032,2447.9189488999978,46.17130950000077,5776.164255000081,0.2188291000000964,8.089453500010475,70.88031179999969,1392.0955461000424,1392.0955461000424,361015,236319,372706,609025,470195,246293,false,true,1.332262635483044,0.7862312963390556,0.48807000526241495,-22.96812911013585,-22.771099798448077,-22.238402863497384
