n,s,t,ddgfact_gap,ddgfact_plus_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime
63,20,1,1.2060811443210546,1.024936309505683,0.3759534966211065,0.5608409,0.563563
63,20,2,1.8468190243824423,1.5053249453436637,0.6736497693319602,0.0394395,0.0228707
63,20,3,2.549315427322381,2.0679466871205228,1.4103884433661251,0.0235112,0.0233628
63,20,4,3.094561279214397,2.4578471717415953,1.7066115312732677,0.0232712,0.0278883
63,20,5,3.581463827846509,2.7932182753745143,2.173530757301684,0.0269188,0.02651
63,20,6,3.949569934794125,3.0394192271281764,2.639952548293402,0.0513688,0.0254425
63,20,7,4.190898272256933,3.1634159328144644,2.982350800687276,0.0266924,0.0267135
63,20,8,4.308299064835056,3.1831669702437324,3.3546306345648382,0.0302247,0.0274705
63,20,9,4.281746596171649,3.090784308222837,3.6515946339263543,0.0265774,0.034461
63,20,10,4.235509353603616,3.0121454948508486,3.976897982790712,0.0303386,0.0351089
63,20,11,4.06179463925765,2.827695887013988,4.208993163955071,0.0391524,0.0367826
63,20,12,3.8666619001506355,2.6438036889941756,4.500296439710997,0.0347711,0.050499
63,20,13,3.6766520302477304,2.4905172690248563,4.82688574992418,0.0543791,0.0430351
63,20,14,3.3765924930386397,2.258243853695369,5.116807578615713,0.0460971,0.0426248
63,20,15,2.9979230255349343,1.970205353089348,5.414544896598763,0.076473,0.045232
63,20,16,2.556676498828132,1.6406047514428437,5.682545698917757,0.0594222,0.0438494
63,20,17,2.079037379772924,1.3056298414016538,5.960514189793464,0.052758,0.052336
63,20,18,1.5470238263387088,0.9449795761336475,6.207735588474762,0.0680367,0.0440447
63,20,19,0.9770484059532833,0.5768124853208931,6.483300310514828,0.0489066,0.0481476
63,20,20,0.39765449066571534,0.23390111614612863,6.818316654885422,0.0544511,0.0502159
