n,s,t,ddgfact_gap,ddgfact_plus_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime
90,20,1,0.8492644971502941,0.8040608779056324,0.08634765404497813,0.6273298,0.6548962
90,20,2,1.3181777277177353,1.2326320360927845,0.3857532381784612,0.1076325,0.0740785
90,20,3,1.7140378866449808,1.5911213947035598,1.106376507925571,0.0788953,0.0760527
90,20,4,2.068431035633896,1.9025787673517698,1.8771353938561006,0.0483825,0.0558516
90,20,5,2.451383413934721,2.243428221279885,2.7408108191499636,0.0591299,0.0568462
90,20,6,2.7223585090214186,2.470248167738788,3.576147586345172,0.0556989,0.0654244
90,20,7,2.9345595720517252,2.6486007806538936,4.187904689662361,0.0700727,0.0677317
90,20,8,3.29923050226364,2.9870112952843613,4.8447232355807515,0.0582448,0.0647063
90,20,9,3.5388900199906104,3.1997802752386377,5.450386187583554,0.0742415,0.0690745
90,20,10,3.5015579957267846,3.1345877156882977,5.817887308366707,0.0786615,0.0927616
90,20,11,3.4834000980677047,3.0992074428243086,6.343739926973427,0.0767516,0.087614
90,20,12,3.3457333473758553,2.948621508919331,6.81702433135078,0.0945487,0.0988189
90,20,13,3.257718862767092,2.8557070204026047,7.436858231717537,0.1124058,0.0915591
90,20,14,3.0311473267882008,2.635461811705923,7.970451774352995,0.1012897,0.0945904
90,20,15,2.7347133869952813,2.3583752363646227,8.388627031968113,0.0902957,0.0970399
90,20,16,2.304084561698403,1.9596931760303136,8.741491636145625,0.1000684,0.1004012
90,20,17,1.8738372179687417,1.5718994003853908,9.106593682897667,0.1236045,0.0963357
90,20,18,1.5392683964592067,1.2853229746853003,9.648616490724677,0.1329359,0.0945261
90,20,19,1.116679613316009,0.9255272773106213,10.13609416543629,0.1144432,0.1614765
90,20,20,0.6232953040232303,0.5111204157226865,10.636972048942184,0.1094845,0.1323023
