n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact_dual,n_fixed_ddgfact_plus_dual,n_fixed_ddgfact_plus_primal,n_fixed_ddgfact_plus_union,n_fixed_ddgfact_plus_upsilon_bfgs_dual,n_fixed_ddgfact_plus_upsilon_bfgs_primal,n_fixed_ddgfact_plus_upsilon_bfgs_union,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
90,2,1,0.22121940727755351,0.2058457760787169,0.16948707582875855,1.3390075841183897,0.5702228,0.4844633,52.0390355,1.4447166,0.038543,68.0,74.0,81.0,81.0,54.0,54.0,54.0,6.905407050957308,7.1266264582348615,7.111252827036025,7.0748941267860666,8.244414635075698,18.988819707382756,36.25583477447467,36.25583487447467,1.0000000116860974e-7,0.5762287117797888,2.1357163425375982,1.7543119266863894
90,3,2,0.3657860992374147,0.3447520694146391,0.25025929957656423,2.429719967249076,0.3056588,0.3629432,72.9654597,1.2703264,0.000668,55.0,58.0,59.0,59.0,43.0,43.0,43.0,13.266224139343787,13.632010238581202,13.610976208758427,13.516483438920352,15.695944106592863,18.988819707382756,49.90402311179928,49.904023211799284,1.0000000116860974e-7,0.5001930400310292,3.5067092381768585,2.962534767708642
90,4,3,0.3760638882021148,0.34331550700784774,0.2514749858182732,3.6213440311446377,0.0439306,0.0310049,98.876095,1.1464683,0.0007054,47.0,51.0,51.0,51.0,40.0,40.0,40.0,19.4970389515477,19.873102839749816,19.84035445855555,19.748513937365974,23.11838298269234,18.988819707382756,47.909005034109846,47.90900513410985,1.0000000116860974e-7,0.5771561843386429,3.7035689878655096,2.852234726369472
90,5,4,0.472173634196853,0.4238466378314172,0.32261019895952003,4.910764174714249,0.045804,0.0458228,136.3086647,1.0816589,0.0005981,15.0,31.0,31.0,31.0,27.0,27.0,27.0,25.33935807643474,25.81153171063159,25.763204714266156,25.66196827539426,30.250122251148987,18.988819707382756,44.51709162680731,44.51709172680731,1.0000000116860974e-7,0.6532384255762564,3.1443061380122153,2.4483853814996093
90,6,5,0.5037689473143203,0.45031684831230834,0.3428654161373714,5.967225109500884,0.0531917,0.0690621,169.4412119,1.4768435,0.001393,12.0,27.0,27.0,27.0,28.0,28.0,28.0,31.155858510640652,31.659627457954972,31.60617535895296,31.498723926778023,37.123083620141536,18.988819707382756,44.577838229640726,44.57783832964073,1.0000000116860974e-7,0.6813086622303468,3.0850861179438356,2.3202715582996727
90,7,6,0.6084678382136843,0.5440411172085007,0.42207671887724985,6.977726817402242,0.0882493,0.0486889,132.4002461,1.1884844,0.001282,3.0,10.0,10.0,10.0,11.0,11.0,11.0,36.82739787431409,37.43586571252777,37.37143899152259,37.24947459319134,43.80512469171633,18.988819707382756,44.37973248052338,44.37973258052338,1.0000000116860974e-7,0.6784324112294886,3.0510831029405803,2.269480303814062
90,8,7,0.682460567049489,0.6060089384236136,0.4693439478879,7.657909648462663,0.101598,0.0872123,163.0499499,1.2471968,0.0007309,1.0,5.0,5.0,5.0,7.0,7.0,7.0,42.432036883226445,43.114497450275934,43.03804582165006,42.901380831114345,50.08994653168911,18.988819707382756,44.05797556365635,44.05797566365635,1.0000000116860974e-7,0.7809597770012253,3.270074751949073,2.208607720385348
90,9,8,0.7346788738909282,0.6491073110646468,0.5010869862645038,8.0853140491729,0.1161451,0.0770108,158.3039967,1.2636484,0.0007004,0.0,2.0,2.0,2.0,6.0,6.0,6.0,48.00057110361374,48.735249977504665,48.649678414678384,48.50165808987824,56.08588515278664,18.988819707382756,44.02255949632205,44.022559596322054,1.0000000116860974e-7,0.6730926849678005,3.677753984707775,2.34418939038385
90,10,9,0.7848848474830774,0.6895988839640594,0.5271336203319166,8.457544022876334,0.101173,0.1207481,145.9224046,1.2775456,0.0006861,0.0,1.0,1.0,1.0,3.0,3.0,3.0,53.535489856141346,54.320374703624424,54.225088740105406,54.06262347647326,61.99303387901768,18.988819707382756,43.71617311203945,43.71617321203945,1.0000000116860974e-7,0.6992798652936927,3.619791765686454,2.297947930286882
90,11,10,0.8154346044181509,0.7105992174433311,0.5371845903211181,8.725946516310373,0.1247886,0.0969374,195.0776749,1.439701,0.0005457,0.0,1.0,1.0,1.0,3.0,3.0,3.0,59.04508101208779,59.86051561650594,59.75568022953112,59.58226560240891,67.77102752839816,18.988819707382756,42.781260511420356,42.78126061142036,1.0000000116860974e-7,0.723363529977847,3.697636865501074,2.3256346853452685
