n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,ddgfact_plus_upsilon_prox_bfgs_gap,spectral_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,ddgfact_plus_upsilon_prox_bfgs_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_ddgfact_plus_upsilon_prox_bfgs,z_spec,prox_bfgs_prox_obj,prox_bfgs_prox_grad_norm,prox_bfgs_iterations,prox_bfgs_num_evals,prox_bfgs_best_iteration,prox_bfgs_status
63,2,1,0.2855203538847346,0.21672423402435204,0.09452056377769213,0.09206430519592301,0.0986311111990068,1.4546796845492647,0.4958297,0.3690152,6.7930089,4.1971636,3.0151847,0.4878476,0.0185132,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9301909170508834,-0.9326471756326525,-0.9260803696295687,0.42996820372068917,-0.9240437847178175,0.6774476615855086,74,166,74,small_step
63,3,2,0.506849191718401,0.3776963044372206,0.2127994312324577,0.21281627232037348,0.21282878417945073,2.6285042839927746,0.215742,0.2111516,17.0888834,5.3672189,5.0251236,0.1264415,0.0001496,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.45497676546866,-2.454959924380744,-2.454947412521667,-0.03927191270834318,-2.453184450887683,0.49015978619273104,55,118,55,small_obj_change
63,4,3,0.5650200573699395,0.4074009607190554,0.22661844232105732,0.22670635533807015,0.22663593271028493,3.765417298825742,0.0457911,0.0195675,14.6406902,5.2384705,6.813996,0.1517719,0.0001477,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.19327515096222,-4.1931872379452075,-4.193257660572993,-0.6544762944575357,-4.191703854226699,0.4827912158069271,56,126,56,small_step
63,5,4,0.6138181223720123,0.4417914695274616,0.2521788882248224,0.2521514972772838,0.2524414316448862,4.3129182419840815,0.02513,0.0219878,18.8086813,8.5907808,6.8465107,0.1810084,0.0001701,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957752349567711,-5.9577797405152495,-5.957489806147647,-1.8970129958084518,-5.955883568097279,0.5816554030873505,67,138,67,small_obj_change
63,6,5,0.6601807515487481,0.47119026212415704,0.2855984655985031,0.2857294876003085,0.2860131347009478,4.807601544662485,0.0352001,0.018266,20.8581694,5.0973469,4.1994748,0.1619478,0.0001549,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.7433945933211,-7.743263571319295,-7.742979924218655,-3.2213915142571183,-7.741567033374074,0.5725683892709226,41,92,41,small_obj_change
