data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,9,6,5,DDGFactplus,general,primal,none,none,none,simple,,0.0,0.22777387838721097,18.9087518,1.6690001487731934,7.019486599999998,7.019486599999998,0.0,0.00018620000000000003,7.019779099999999,2.6e-6,0.0001195,0.0,1.0741158999999998,1.0741158999999998,6,6,13,19,7,9,true,false,0.2713476517934694,0.1227683847743144,NaN,-11.05579160783471,-11.05579160783471,-10.828017729447499
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,1,0.0,0.12550727570479125,17.8340109,9.289999961853027,13.106965100000002,0.028079899999999998,13.078885200000002,0.0280152,13.138823099999998,3.7e-6,0.0001069,0.0,4.518388300000001,4.518388300000001,6,1,10,11,13,7,true,false,0.07256092856875007,0.024841938867517906,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,2,0.0,0.12550727570479125,8.1207056,4.072999954223633,7.4928638,0.059205299999999995,7.433658500000002,0.000405,7.4934954,4.2999999999999995e-6,0.00011910000000000006,0.0,0.6238855000000001,0.6238855000000001,9,3,10,13,17,7,true,false,0.12217553620779675,0.030899429734909795,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,4,0.0,0.12550727570479125,4.1194905,0.43900012969970703,3.825098700000001,0.055682300000000004,3.7694164000000003,0.0003746,3.8256658000000003,2.8999999999999998e-6,8.930000000000002e-5,0.0,0.2888045,0.2888045,7,2,11,13,15,10,true,false,0.15351839455900063,0.04503656035063308,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,6,0.0,0.12550727570479125,3.7832869,0.3959999084472656,3.5006752000000008,0.0581263,3.4425489000000002,0.0003459,3.5012132000000014,2.2999999999999996e-6,8.32e-5,0.0,0.2771224,0.2771224,7,2,11,13,15,10,true,false,0.15351839455900063,0.04503656035063308,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,8,0.0,0.12550727570479125,3.8573127,0.38000011444091797,3.5814592999999997,0.06632370000000001,3.5151356,0.0003164,3.5819692000000005,2.0e-6,6.919999999999996e-5,0.0,0.2730574,0.2730574,7,2,11,13,15,10,true,false,0.15351839455900063,0.04503656035063308,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,bfgs,default,very_fast,simple,10,0.0,0.12550727570479125,4.1044026,0.372999906539917,3.8308799000000007,0.0584813,3.7723986000000007,0.0003474,3.8314203000000004,2.4999999999999998e-6,7.639999999999996e-5,0.0,0.26980780000000004,0.26980780000000004,7,2,11,13,15,10,true,false,0.15351839455900063,0.04503656035063308,NaN,-11.05579160783471,-11.05579160783471,-10.930284332129919
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,1,0.0,0.12613165426131623,5.5893459,4.516000032424927,5.1304624,0.026456399999999998,5.104006,0.0003969,5.131011400000002,4.6e-6,0.00011059999999999999,0.0,0.4220777,0.4220777,8,0,9,9,19,7,true,false,0.04562837271217113,0.0167816527527318,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,2,0.0,0.12613165426131623,2.3802539,2.065999984741211,2.0718162,0.0520432,2.0197730000000003,0.0003866,2.0724054,3.6e-6,0.00011189999999999998,0.0,0.3026996,0.3026996,7,0,9,9,17,7,true,false,0.04757622207918999,0.017000595531670677,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,4,0.0,0.12613165426131623,0.8695534,0.5169999599456787,0.5674383000000001,0.0847911,0.4826472,0.0004295000000000001,0.5681188999999999,3.5999999999999994e-6,9.4e-5,0.0,0.29868089999999997,0.29868089999999997,7,2,11,13,15,10,true,false,0.15393076002999528,0.046702842207869646,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,6,0.0,0.12613165426131623,0.6934016,0.377000093460083,0.4237486000000001,0.05623,0.3675186,0.00033889999999999994,0.42427550000000014,2.1000000000000002e-6,7.279999999999998e-5,0.0,0.2664627,0.2664627,7,2,11,13,15,10,true,false,0.15393076002999528,0.046702842207869646,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,8,0.0,0.12613165426131623,0.7884789,0.49500012397766113,0.4571847,0.0799853,0.37719939999999996,0.00045610000000000003,0.4579278,3.2999999999999997e-6,0.00010449999999999999,0.0,0.3278527,0.3278527,7,2,11,13,15,10,true,false,0.15393076002999528,0.046702842207869646,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_one,root,node,simple,10,0.0,0.12613165426131623,0.8156098,0.501000165939331,0.4755877999999999,0.08517229999999999,0.39041549999999997,0.0005332,0.47647919999999994,3.3e-6,0.00010329999999999996,0.0,0.336199,0.336199,7,2,11,13,15,10,true,false,0.15393076002999528,0.046702842207869646,NaN,-11.05579160783471,-11.05579160783471,-10.929659953573394
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_full,root,node,simple,1,0.0,0.12612465442290244,14.2631154,13.30299997329712,13.775229900000001,0.0262485,13.7489814,0.0005685,13.775949699999996,4.700000000000001e-6,0.00013419999999999998,0.0,0.44523110000000005,0.44523110000000005,7,0,9,9,17,7,true,false,0.04562493619952157,0.01766693930868587,NaN,-11.05579160783471,-11.05579160783471,-10.929666953411807
63,9,6,5,DDGFactplusUpsilon,general,primal,ppa_full,root,node,simple,2,0.0,0.12612465442290244,6.234928,5.305999994277954,5.8635979,0.059990199999999994,5.803607700000001,0.00041959999999999995,5.864251599999999,3.3999999999999996e-6,0.00010359999999999997,0.0,0.36739750000000004,0.36739750000000004,7,0,9,9,17,7,true,false,0.04757622207918999,0.0167438812134435,NaN,-11.05579160783471,-11.05579160783471,-10.929666953411807
