n,s,t,ddgfact_gap,ddgfact_plus_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime
124,20,1,1.7586820910328331,1.7586505128052394,0.09728566293986862,3.62371,4.3002368
124,20,2,2.3026735893053445,2.302613756924849,0.26635565435426045,3.7031943,3.8163724
124,20,3,2.5439452928336213,2.543860530367491,0.6117643572860825,3.9002506,3.9326864
124,20,4,2.750184508729916,2.750078140235786,1.1621194571651365,3.895297,3.7034963
124,20,5,2.7072529825351914,2.7071283320644035,1.515150959420513,4.1087207,4.0870328
124,20,6,2.5413671676693745,2.5412275592624063,1.8467633921811881,3.7773264,4.1050303
124,20,7,2.5633234999304193,2.5631722576186604,2.4205554198643924,3.918035,3.9324491
124,20,8,2.3995432036690616,2.399381670700116,2.8561481014705734,3.6330437,3.6852604
124,20,9,2.4302861619967118,2.4301133207658694,3.4710424304721172,3.7295664,3.7583167
124,20,10,2.3671490203969086,2.3669645433530775,4.053297339257163,3.9333781,3.7243222
124,20,11,2.214273209118616,2.214077918295388,4.674535722930223,3.4984479,3.9320353
124,20,12,2.080358982534527,2.080156554789781,5.359122531398192,3.9286783,3.9525376
124,20,13,1.9253364360075267,1.9251266850143622,6.153375480631311,4.2265542,4.2717654
124,20,14,1.7059398556562257,1.7057314458015966,6.968862465350213,4.6550764,4.6132893
124,20,15,1.5975678953252057,1.5973637784287362,7.806122360371937,4.966849,4.2951045
124,20,16,1.4294089185937082,1.4292133448226423,8.623736845218787,4.815068,4.6314991
124,20,17,1.214811295983182,1.214622311600067,9.487151023143213,4.7059007,4.6539484
124,20,18,0.9625240885038409,0.9623583629900878,10.503347006468658,5.1780058,5.2830571
124,20,19,0.6650470206291033,0.6649222101617198,11.556146328325042,5.7089494,4.9969718
124,20,20,0.4533539349745297,0.4532750824180738,12.741578222345083,8.2188624,8.5596568
