n,s,t,ddgfact_gap,ddgfact_plus_gap,spectral_gap,custom_bfgs_gap,ppa_one_gap,pf_lmo_lmo_gap,pf_lmo_po_gap,pf_po_lmo_gap,pf_lmo_lmo_dual_gap,pf_lmo_po_dual_gap,pf_po_lmo_dual_gap,ddgfact_runtime,ddgfact_plus_runtime,spectral_runtime,custom_bfgs_runtime,ppa_one_runtime,pf_lmo_lmo_runtime,pf_lmo_po_runtime,pf_po_lmo_runtime,local_search_runtime
63,5,1,0.6053853751783853,0.4826863141445477,0.9403161693975799,0.2892771897798901,0.2880913470616497,0.3088342227823352,0.31873711278750105,0.2984992822721093,0.30922364417982606,0.3187938179486486,0.2986964850977466,7.4205116,0.5668752,0.0174988,12.0116231,4.0725453,10.5179895,6.6238006,6.3213447,1.3009646
63,6,2,1.055435940320724,0.8420441737806459,1.9113962520089196,0.5500832575193786,0.5499596617120748,0.569115801798725,0.5653974069992911,0.5565314012963585,0.570463857894492,0.5688213985379833,0.5590497834912211,0.3007137,0.2137817,0.0001349,8.9175066,5.8685655,13.5274073,14.1555091,16.4107901,0.1794864
63,7,3,1.3897385554489894,1.0730735748974265,2.9603707801155235,0.6835451731709901,0.6835908577743623,0.6953567825594034,0.7012531033662919,0.6911037133569455,0.7007140680817852,0.7072947526664208,0.6951659710654594,0.0184479,0.0141801,0.0001377,12.4005352,5.4305727,14.2822426,12.8760766,19.79749,0.1812627
63,8,4,1.6131225078160911,1.214742932715657,3.464832059034504,0.7807468049008017,0.7801580936812398,0.8059551518347421,0.8033944141942415,0.7901890607107163,0.8122567879414069,0.8099832782954195,0.7946558220888509,0.0143051,0.0126986,0.000131,10.3448075,5.6729757,16.098649,15.3370474,17.7290331,0.1908327
63,9,5,1.7400862606022889,1.27770734576315,3.9305471100226796,0.8399292873187028,0.8393605021459711,0.8616509613883503,0.858119606448092,0.8536553421689463,0.8698885890714925,0.8667416546230662,0.8597118580392777,0.0260237,0.0267365,0.0001626,10.1468599,5.8657696,17.4553554,15.5421273,15.7437552,0.1858915
