data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,9,6,5,DDGFactplus,general,dual,none,none,none,simple,,true,0.0,0.22777387922051062,8.8541599,1.996000051498413,0.3023294,0.30236650000000004,0.0,0.00015769999999999996,0.3032096,8.1e-6,0.00010709999999999999,0.0005339000000000001,1.8770782,1.8770782,6,6,13,19,7,8,true,false,0.2713476526267691,0.17002084491695935,NaN,-11.05579160783471,-11.05579160783471,-10.8280177286142
63,9,6,5,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,1,true,0.0,0.1386189957611279,8.4217376,4.480000019073486,0.4573416,0.4573416,5.086659700000001,0.0002905,5.5593207,2.7000000000000004e-6,0.00011879999999999997,0.0004734,2.3489818,2.3489818,5,0,9,9,13,7,true,false,0.1875370284760507,0.10553774472044099,NaN,-11.05579160783471,-11.05579160783471,-10.917172612073582
63,9,6,5,DDGFactplusUpsilon,general,dual,pf_po_lmo,root,node,simple,2,true,0.0,0.1386189957611279,0.1560607,0.13100004196166992,0.04158389999999999,0.04158389999999999,0.0333547,0.0003106,0.0757759,1.3999999999999997e-6,0.0001001,0.0004326,0.07764170000000001,0.07764170000000001,7,0,9,9,17,9,true,false,0.2503199502268636,0.12192256035556978,NaN,-11.05579160783471,-11.05579160783471,-10.917172612073582
