n,s,t,cont_fi_obj,cont_fp_obj,cont_bi_obj,greedy_fi_obj,greedy_fp_obj,greedy_bi_obj,reversegreedy_fi_obj,reversegreedy_fp_obj,reversegreedy_bi_obj,simplex_fi_obj,simplex_fp_obj,simplex_bi_obj,best_ls_obj
124,20,1,5.421259650651731,5.421259650651731,5.421259650651731,5.42125965065173,5.421259650651731,5.421259650651731,5.42125965065173,5.42125965065173,5.42125965065173,5.421259650651732,5.421259650651731,5.341869087849813,5.421259650651732
124,20,2,10.670915533982868,10.670915533982868,10.670915533982868,10.528474361290417,10.528474361290417,10.528474361290417,10.670915533982868,10.670915533982868,10.670915533982868,10.670915533982868,10.670915533982868,10.670915533982868,10.670915533982868
124,20,3,15.693423964243998,15.700043067774201,15.693423964243998,15.700043067774201,15.700043067774201,15.700043067774201,15.700043067774201,15.7000430677742,15.693423964243998,15.700043067774201,15.693423964243998,15.700043067774203,15.700043067774203
124,20,4,20.424405015606727,20.424405015606727,20.422584136381573,20.422584136381573,20.422584136381573,20.422584136381573,20.422584136381573,20.422584136381573,20.422711400642694,20.424405015606727,20.408610445466756,20.408610445466756,20.424405015606727
124,20,5,25.145266166293823,25.145266166293823,25.145266166293826,25.145266166293826,25.145266166293826,25.145266166293826,25.145266166293826,25.145266166293826,25.145266166293826,25.204427369231617,25.087495850811955,25.087495850811955,25.204427369231617
124,20,6,29.508035716742665,29.508035716742665,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172,29.78772647016172
124,20,7,34.07489765208534,34.07489765208534,34.07489765208534,34.04910400382677,34.04910400382677,34.07489765208534,34.07489765208534,34.07489765208534,34.07489765208534,34.07489765208534,34.07489765208534,34.07489765208534,34.07489765208534
124,20,8,38.40044989335963,38.197278730340805,38.197278730340805,38.400449893359614,38.400449893359614,38.400449893359614,38.1972787303408,38.1972787303408,38.1972787303408,38.40044989335963,38.40044989335963,38.40044989335962,38.40044989335963
124,20,9,42.28948456691998,42.28948456691998,42.28948456691998,42.38439970276598,42.363312861408254,42.36331286140825,42.28948456691998,42.28948456691998,42.28948456691998,42.36331286140825,42.36331286140825,42.36331286140825,42.38439970276598
124,20,10,46.30116940101635,46.30116940101635,46.30116940101635,46.30116940101635,46.30116940101635,46.30116940101635,46.1502140593438,46.1502140593438,46.1502140593438,46.30116940101635,46.30116940101635,46.30116940101635,46.30116940101635
124,20,11,50.14747987894925,50.14747987894925,50.14747987894925,50.14747987894925,50.14747987894925,50.14747987894925,50.14747987894925,50.14747987894925,50.024254776772146,50.14747987894925,50.14747987894924,50.14747987894925,50.14747987894925
124,20,12,53.8125903322069,53.8125903322069,53.81407250791441,53.67815350479045,53.67815350479045,53.67815350479045,53.8125903322069,53.8125903322069,53.76831926456483,53.76831926456484,53.81407250791441,53.8125903322069,53.81407250791441
124,20,13,57.34335888225898,57.34335888225898,57.34335888225898,57.31967536410758,57.31967536410758,57.31967536410758,57.30956708247563,57.30956708247563,57.30956708247563,57.309573176173565,57.309573176173565,57.33133384563294,57.34335888225898
124,20,14,60.77057403437536,60.77057403437536,60.77057403437536,60.77057403437536,60.77057403437536,60.77057403437536,60.779231368620145,60.779231368620145,60.77923136862016,60.77057403437535,60.77923136862016,60.77100434114573,60.77923136862016
124,20,15,63.96486890721145,63.96486890721143,63.96486890721143,63.96486890721144,63.96486890721144,63.96486890721144,63.95416489627653,63.95416489627653,63.95416489627653,63.89042957498761,63.89042957498761,63.89042957498759,63.96486890721145
124,20,16,67.04722008162938,67.04722008162936,67.04722008162936,66.98938356942973,66.98938356942973,66.98938356942973,67.04722008162936,66.99923443200406,66.99923443200406,67.04722008162938,66.99923443200407,66.99923443200406,67.04722008162938
124,20,17,69.9937729049304,69.9937729049304,69.9937729049304,69.99377290493038,69.99377290493038,69.99377290493038,69.93607576585929,69.93607576585929,69.93607576585929,69.99377290493038,69.99377290493038,69.99377290493038,69.9937729049304
124,20,18,72.69551352851666,72.69551352851666,72.69551352851667,72.77772150334351,72.77772150334351,72.77772150334351,72.69551352851667,72.69551352851666,72.77772150334351,72.77772150334351,72.77772150334351,72.77772150334351,72.77772150334351
124,20,19,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499,75.41832245342499
124,20,20,77.82646938034357,77.82646938034357,77.82646938034358,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034357,77.82646938034358
