n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_original_gap,ddgfact_plus_upsilon_bfgs_t1_reform_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_original_runtime,ddgfact_plus_upsilon_bfgs_t1_reform_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs_original,z_ddgfact_plus_upsilon_bfgs_t1_reform,z_spec,bfgs_t1_reform_improvement_over_original,bfgs_t1_reform_runtime_saving,psi_bfgs_original,lambda_min_bfgs_original,feasibility_slack_bfgs_original,psi_bfgs_t1_reform,lambda_min_bfgs_t1_reform,feasibility_slack_bfgs_t1_reform,gamma_min_bfgs_original,gamma_max_bfgs_original,theta_norm_bfgs_original,gamma_min_bfgs_t1_reform,gamma_max_bfgs_t1_reform,theta_norm_bfgs_t1_reform
63,2,1,0.2855203538847346,0.21672423402435204,0.09305879410911044,0.09321052831925813,1.4546796845492647,0.5012373,0.4141063,7.6454824,2.4625036,0.4475123,0.0190153,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9316526867194651,-0.9315009525093174,0.42996820372068917,-0.0001517342101476915,5.1829788,0.05142235435235485,0.05142245435235485,1.0000000000287557e-7,0.05139257158169106,0.051392671581691064,1.0000000000287557e-7,0.5895913236392274,1.7966321174735185,2.2352436651425074,0.592453834879142,1.7433265633857218,2.2330726008717425
63,3,1,0.40559367639079713,0.31036875138709363,0.13101858447012926,0.13107703800259152,1.193666460566439,0.0168983,0.0092214,5.0921385,2.1231523,0.8417838,0.0001551,-0.76369825684575,-0.35810458045495286,-0.45332950545865636,-0.6326796723756207,-0.6326212188431585,0.42996820372068917,-5.845353246225482e-5,2.9689862,0.05036316543601063,0.050363265436010635,1.0000000000287557e-7,0.050361311545479015,0.05036141154547902,1.0000000000287557e-7,0.5994323860631527,1.7033897482938385,2.1219054087701417,0.5993792745594488,1.7034092919404227,2.1219841960450174
63,4,1,0.5403975849666994,0.429798923609753,0.232588460933648,0.23258649039355966,1.0651161400785043,0.0067022,0.0056048,3.3765038,1.3426468,0.1973397,0.0001505,-0.6351479363578152,-0.09475035139111573,-0.2053490127480622,-0.4025594754241672,-0.4025614459642555,0.42996820372068917,1.970540088325201e-6,2.0338570000000002,0.051766071848559955,0.05176617184855996,1.0000000000287557e-7,0.051766157171575136,0.05176625717157514,1.0000000000287557e-7,0.6163645979219853,1.802014398880934,2.2404357716302,0.6163652105793307,1.802013254638515,2.240437139888394
63,5,1,0.6053853751783853,0.4826863141445477,0.2881641700400173,0.2880574029989215,0.9403161693975799,0.0166938,0.0108356,3.9840464,1.708101,0.1418044,0.0001481,-0.5103479656768907,0.09503740950149467,-0.027661651532342946,-0.22218379563687335,-0.22229056267796915,0.42996820372068917,0.00010676704109580104,2.2759454,0.051258524600635,0.051258624600635,1.0000000000287557e-7,0.051270109425569255,0.05127020942556926,1.0000000000287557e-7,0.6412300768936529,1.8487154316970908,2.202432006431343,0.6413512097525101,1.8487244694162932,2.201802267830975
63,6,1,0.6815858667771566,0.5490010784839117,0.3635729073727362,0.363562707949759,0.8660230024467304,0.006353,0.0058078,5.4195734,2.7991699,0.1823437,0.0001723,-0.43605479872604114,0.24553106805111552,0.11294627975787057,-0.07248189135330496,-0.07249209077628216,0.42996820372068917,1.0199422977197337e-5,2.6204035,0.05043530489747668,0.05043540489747668,1.0000000000287557e-7,0.05043702200176825,0.05043712200176825,1.0000000000287557e-7,0.6904915860062742,1.7511575763251834,2.078942244600228,0.6905001301602962,1.7511364507741607,2.0789219990567815
63,7,1,0.7401944220480897,0.6000720913956512,0.4101860350056778,0.41023221480306665,0.7939203766532575,0.0207609,0.0107606,6.4825005,2.1716076,0.1704816,0.0001648,-0.3639521729325684,0.37624224911552134,0.23611991846308283,0.04623386207310942,0.04628004187049828,0.42996820372068917,-4.617979738885669e-5,4.310892900000001,0.049759822550916766,0.04975992255091677,1.0000000000287557e-7,0.050030647620292544,0.05003074762029255,1.0000000000287557e-7,0.6902679887649523,1.8064294123406843,2.026554535349812,0.6934122850800019,1.7445354799779789,2.001156206389161
63,8,1,0.7905939804685242,0.6442217544519281,0.45099220453395583,0.450505949028245,0.7307559278657795,0.0068069,0.006247,7.9581515,2.8670441,0.4528952,0.0007809,-0.3007877241450903,0.48980625632343394,0.3434340303068378,0.1502044803888655,0.14971822488315467,0.42996820372068917,0.0004862555057108253,5.091107399999999,0.04922891465059845,0.04922901465059845,1.0000000000287557e-7,0.04918104786338741,0.04918114786338741,1.0000000000287557e-7,0.7251904057077662,1.7219134135813592,1.9093006747815722,0.7213122165173274,1.7127762160218918,1.9228041631491488
63,9,1,0.841103077929563,0.6894285568316982,0.4982479029952166,0.49703470177236386,0.68073235627712,0.0212847,0.0110002,7.9299958,2.5001569,0.1853137,0.000148,-0.25076415255643086,0.590338925373132,0.43866440427526737,0.2474837504387857,0.24627054921593297,0.42996820372068917,0.0012132012228527334,5.4298389,0.04904624887728778,0.04904634887728778,1.0000000000287557e-7,0.04887984607368972,0.04887994607368972,1.0000000000287557e-7,0.7344993610046968,1.7767570305545732,1.9366816819979784,0.7323205866890936,1.7502819307589523,1.9538084027460083
63,10,1,0.892610306447692,0.736443917199979,0.5361575340950995,0.5361724640011247,0.6414533150109731,0.0198853,0.0102816,7.6466879,2.7967803,0.4896925,0.0001549,-0.21148511129028397,0.681125195157408,0.5249588059096951,0.32467242280481545,0.3246873527108407,0.42996820372068917,-1.4929906025251682e-5,4.8499076,0.05013152846974675,0.05013162846974675,1.0000000000287557e-7,0.05013313039294513,0.050133230392945136,1.0000000000287557e-7,0.7373997542591757,1.673195000084013,1.877165865836725,0.7373931710061693,1.6732344330086715,1.877317125337362
63,11,1,0.9472283142492621,0.7872314157121899,0.5838725597335388,0.5839615130153345,0.6130784359975929,0.0087165,0.0076152,7.3305951,2.4127332,0.2449731,0.000154,-0.1831102322769038,0.7641180819723583,0.6041211834352861,0.40076232745663504,0.40085128073843074,0.42996820372068917,-8.895328179570061e-5,4.9178619,0.04879195491655054,0.048792054916550545,1.0000000000287557e-7,0.04885555870448478,0.048855658704484786,1.0000000000287557e-7,0.7337356443531161,1.7191193776446891,1.884857698713876,0.7330636699271202,1.7205988965832353,1.88972410882496
