data_n,n,s,t,relaxation,solver_used,fixing_rule,calibration_method,root_calibration_param_set,node_calibration_param_set,upsilon_fixing,recalibrate_k,warm_start,bnb_gap,bnb_root_gap,bnb_runtime,bnb_reported_wall_time,bnb_knitro_time,bnb_relaxation_solve_time,bnb_upsilon_calibration_time,bnb_factorization_time,bnb_bound_computation_time,bnb_open_list_time,bnb_node_setup_time,bnb_dual_solution_time,bnb_variable_fixing_direct_time,bnb_variable_fixing_time,bnb_variable_fixing_calls,n_fixed_zero_bnb,n_fixed_one_bnb,n_fixed_total_bnb,bnb_nodes,bnb_n_int_sols,bnb_tree_exhausted,bnb_time_limit_hit,bnb_int_gap_max,bnb_int_gap_avg,bnb_int_gap_opt,z_bnb,z_bnb_ub,z_bnb_root_ub
63,32,16,12,DDGFactplus,general,dual,none,none,none,simple,,true,0.4573141100839351,1.0408410133611525,7217.3639926,7200.0019998550415,6786.047284899899,6794.813688899917,0.0,102.87557109999942,7115.216875900046,0.4795503000002775,23.61708260010324,178.9076001999798,10.68499780000169,10.68499780000169,1002097,2457107,726248,3183355,1082463,715606,false,true,1.4968786002372596,1.063142027137184,0.7787331280160785,-22.96812911013585,-22.510815000051913,-21.927288096774696
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,1,true,0.3393664805845127,0.7604418025648023,7206.2506564,7200.138000011444,174.17060589999969,174.17060589999969,6422.592397300029,5.08843950000011,6989.503164099976,0.032466999999999996,1.1202866000001814,386.42222919999926,210.32173749999922,210.32173749999922,45015,14072,64713,78785,48435,2998,false,true,5.1598775974616125,0.7019987053484432,0.40905011907753774,-22.96812911013585,-22.628762629551336,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,2,true,0.29929863826218295,0.7604418025648023,7200.2879774,7200.023999929428,603.9189575000053,603.9189575000053,5692.073587799989,8.85227970000014,6862.179379700028,0.05149249999999958,1.678996700000264,553.8064156999953,328.84431840000025,328.84431840000025,71939,31711,79861,111572,78699,23460,false,true,2.054196731448961,0.7337647467085601,0.4154329382332591,-22.96812911013585,-22.668830471873665,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,4,true,0.27890882382810034,0.7604418025648023,7200.3159095,7200.067999839783,1125.373552499991,1125.373552499991,4810.384037400036,13.385046699999958,6718.50534409997,0.07320190000000346,2.648456300000414,763.2234924000094,468.1743414999958,468.1743414999958,102386,62708,108427,171135,115293,49441,false,true,5.479851819185235,0.7532638224369074,0.41829673696707914,-22.96812911013585,-22.689220286307748,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,6,true,0.27723908220239935,0.7604418025648023,7200.2569497,7200.009999990463,1522.7026915000308,1522.7026915000308,4135.8640845000145,17.14573340000003,6608.159324999926,0.08514090000001286,3.275226300000483,923.9046005000013,575.444162199996,575.444162199996,125877,82613,136095,218708,144259,69544,false,true,5.620029814931218,0.7744130767984798,0.4030917401391392,-22.96812911013585,-22.69089002793345,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,8,true,0.2822436638497763,0.7604418025648023,7200.274854,7200.029000043869,1727.7114808000244,1727.7114808000244,3787.815079099996,19.364459999999777,6551.26347319984,0.09453820000001613,3.7182566000006028,1006.929036799996,630.381792100006,630.381792100006,138242,85152,151955,237107,159817,79475,false,true,1.4355152445128851,0.7870246645553017,0.42029398272851637,-22.96812911013585,-22.685885446286072,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_lmo,root,node,simple,10,true,0.30228393717687396,0.7604418025648023,7200.2890902,7200.000999927521,1927.0701955999912,1927.0701955999912,3443.1894148000206,20.185139399999947,6484.024797200019,0.09922170000002226,3.803962900000724,1082.7440981999944,696.5754660000065,696.5754660000065,152551,100423,168998,269421,171449,86573,false,true,5.317087215981562,0.815314685949623,0.39460758700099774,-22.96812911013585,-22.665845172958974,-22.207687307571046
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,1,true,0.3818598015685204,0.7502360334554226,7200.7979607,7200.096999883652,76.45724280000005,76.45724280000005,6814.59070400001,2.6789550999999805,7094.827360599968,0.015877699999999446,0.5178654999999338,200.57070080000025,102.9389997000001,102.9389997000001,22644,1418,30830,32248,23791,889,false,true,0.9702268567150583,0.6870378147252437,NaN,-22.968129110135852,-22.58626930856733,-22.21789307668043
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,2,true,0.3428335774167408,0.750236033455419,7200.6033147,7200.1669998168945,322.2548955999982,322.2548955999982,6387.807774599988,4.740078900000093,7013.695344200013,0.027192100000000097,0.8999440000000669,297.1121303999999,181.9670068,181.9670068,39111,3536,38104,41640,41313,10395,false,true,1.187943584706698,0.7424781785360007,0.40421531344446393,-22.96812911013585,-22.625295532719107,-22.21789307668043
63,32,16,12,DDGFactplusUpsilon,general,dual,pf_lmo_po,root,node,simple,4,true,0.3206340367175784,0.750236033455419,7200.6495629,7200.196000099182,634.6526427999975,634.6526427999975,5849.228932800006,7.499113200000268,6919.0972978000655,0.0404061000000001,1.4094757000001459,424.20113659999964,274.0535812000004,274.0535812000004,59109,11662,58057,69719,64059,24085,false,true,1.2739916161967884,0.7560386014373339,0.4472412878278824,-22.96812911013585,-22.64749507341827,-22.21789307668043
