n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,ddgfact_plus_upsilon_multi_step_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,ddgfact_plus_upsilon_multi_step_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_ddgfact_plus_upsilon_multi_step,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_one_step,lambda_min_upsilon_one_step,feasibility_slack_upsilon_one_step,psi_upsilon_multi_step,lambda_min_upsilon_multi_step,feasibility_slack_upsilon_multi_step,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_one_step,gamma_max_upsilon_one_step,theta_norm_upsilon_one_step,theta_norm_inf_upsilon_one_step,gamma_min_upsilon_multi_step,gamma_max_upsilon_multi_step,theta_norm_upsilon_multi_step,theta_norm_inf_upsilon_multi_step,one_step_cache_size,one_step_num_objective_oracle_requests,one_step_num_objective_cache_hits,one_step_objective_cache_hit_rate,one_step_num_objective_solves,one_step_num_subgradient_requests,one_step_num_subgradient_cache_hits,one_step_subgradient_cache_hit_rate,one_step_num_subgradient_evals,one_step_subproblem_status,one_step_subproblem_primal_status,one_step_subproblem_acceptable_status,one_step_subproblem_residual_norm_inf,multi_step_cache_size,multi_step_num_objective_oracle_requests,multi_step_num_objective_cache_hits,multi_step_objective_cache_hit_rate,multi_step_num_objective_solves,multi_step_num_subgradient_requests,multi_step_num_subgradient_cache_hits,multi_step_subgradient_cache_hit_rate,multi_step_num_subgradient_evals,multi_step_prox_iters,multi_step_stop_reason,multi_step_subproblem_acceptable_status,multi_step_subproblem_residual_norm_inf,relax_knitro_opttol,relax_knitro_feastol,prox_knitro_opttol,prox_knitro_feastol,prox_knitro_xtol,prox_knitro_ftol
63,2,1,0.2855203538847346,0.21672423402435204,0.09500354765564767,0.17479332605394804,0.17479332605394804,1.4546796845492647,0.4926194,0.4071788,7.8387256,3.1390447,2.6147459,0.9427993,0.0190515,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9297079331729279,-0.8499181547746275,-0.8499181547746275,0.42996820372068917,0.031745640422217065,0.04993728069283945,0.049937380692839456,1.0000000000287557e-7,0.03868740133223594,0.038687501332235946,1.0000000000287557e-7,0.03868740133223594,0.038687501332235946,1.0000000000287557e-7,0.577404192021695,1.6976883475590794,2.222775741911034,0.5492127516104591,0.769783958439376,1.4278535323534396,0.7809477125025533,0.3561722902769525,0.769783958439376,1.4278535323534396,0.7809477125025533,0.3561722902769525,172,353,181,0.5127478753541076,172,177,6,0.03389830508474576,171,SLOW_PROGRESS,FEASIBLE_POINT,true,0.4514258174147663,196,523,327,0.6252390057361377,196,267,72,0.2696629213483146,195,3,prox_obj_and_step_tol,true,0.45169448975142085,1.0e-8,1.0e-5,0.01,1.0e-6,0.0001,1.0e-5
63,3,2,0.506849191718401,0.3776963044372206,0.21279878630134919,0.21285910583208656,0.21282377305082267,2.6285042839927746,0.2548517,0.2302267,21.236078,5.6076646,10.4550212,0.1312141,0.0001474,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.4549774103997684,-2.454917090869031,-2.454952423650295,-0.03927191270834318,0.031745640422217065,0.04884131662736842,0.04884141662736842,1.0000000000287557e-7,0.04914971777816616,0.04914981777816616,1.0000000000287557e-7,0.049149698794604,0.049149798794604,1.0000000000287557e-7,0.6696235841840943,1.6666512567956269,1.899291812712987,0.510816377800623,0.7152748385852463,1.7053422009818855,1.7974945235770403,0.5337657949852516,0.7152748386835147,1.7053422011282455,1.7974947357127942,0.533765795071076,136,273,137,0.5018315018315018,136,137,2,0.014598540145985401,135,SLOW_PROGRESS,FEASIBLE_POINT,true,0.3612761869322985,262,546,284,0.5201465201465202,262,280,19,0.06785714285714285,261,4,prox_obj_and_step_tol,true,0.36190191250440845,1.0e-8,1.0e-5,0.01,1.0e-6,0.0001,1.0e-5
63,4,3,0.5650200573699395,0.4074009607190554,0.2266172354765752,0.22679944818460473,0.226792222725285,3.765417298825742,0.0386548,0.0222186,14.4402783,6.7592312,11.9480578,0.1329085,0.0001473,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.1932763578067025,-4.193094145098673,-4.193101370557993,-0.6544762944575357,0.031745640422217065,0.04923023784286682,0.049230337842866824,1.0000000000287557e-7,0.04865113901841159,0.04865123901841159,1.0000000000287557e-7,0.048651179104988534,0.04865127910498854,1.0000000000287557e-7,0.6589828691111361,1.6364248071413097,1.8229603821865292,0.4925138665410108,0.6419528630310728,1.7974260831207178,1.8211183909460844,0.5863556877206416,0.6419528630332533,1.7974248735702274,1.8211195002727865,0.5863550146498011,150,301,151,0.5016611295681063,150,151,2,0.013245033112582781,149,SLOW_PROGRESS,FEASIBLE_POINT,true,0.40169452990059545,256,538,282,0.5241635687732342,256,276,21,0.07608695652173914,255,4,prox_obj_and_step_tol,true,0.45825137884577216,1.0e-8,1.0e-5,0.01,1.0e-6,0.0001,1.0e-5
63,5,4,0.6138181223720123,0.4417914695274616,0.2521228337241812,0.25224019045078894,0.2522228274277296,4.3129182419840815,0.0362038,0.0191759,16.8517501,6.4676104,14.0107235,0.1388114,0.0030447,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957808404068352,-5.957691047341744,-5.957708410364804,-1.8970129958084518,0.031745640422217065,0.04860478709067885,0.04860488709067885,1.0000000000287557e-7,0.04797255074584855,0.047972650745848555,1.0000000000287557e-7,0.047972435204532815,0.04797253520453282,1.0000000000287557e-7,0.6996987513908689,1.6563313318785418,1.83197576005769,0.5046051155866075,0.7391996021433807,1.7600537893803443,1.68956313301096,0.5653443707309704,0.7392058580085864,1.7600537892141719,1.6895605628178199,0.5653443706365562,156,313,157,0.5015974440894568,156,157,2,0.012738853503184714,155,SLOW_PROGRESS,FEASIBLE_POINT,true,0.3997075446790938,325,694,369,0.531700288184438,325,357,33,0.09243697478991597,324,6,prox_obj_and_step_tol,true,0.3860608823669336,1.0e-8,1.0e-5,0.01,1.0e-6,0.0001,1.0e-5
63,6,5,0.6601807515487481,0.47119026212415704,0.28558850639104794,0.28580421537339795,0.28578811081766364,4.807601544662485,0.0297904,0.0173975,18.2700202,6.185557,11.3964953,0.159364,0.0001466,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.743404552528555,-7.743188843546205,-7.74320494810194,-3.2213915142571183,0.031745640422217065,0.047761301981462015,0.04776140198146202,1.0000000000287557e-7,0.04839977289087137,0.04839987289087137,1.0000000000287557e-7,0.04839960020146629,0.04839970020146629,1.0000000000287557e-7,0.69773743527278,1.630683231427419,1.778244713415501,0.488999087380417,0.6985894756159579,1.6874660523410752,1.729429399483685,0.523228026430981,0.6985894758858245,1.6874660570848592,1.7294266442394857,0.5232280292421687,162,325,163,0.5015384615384615,162,163,2,0.012269938650306749,161,SLOW_PROGRESS,FEASIBLE_POINT,true,0.41885323859491863,263,552,289,0.5235507246376812,263,283,21,0.07420494699646643,262,4,prox_obj_and_step_tol,true,0.42012539789492065,1.0e-8,1.0e-5,0.01,1.0e-6,0.0001,1.0e-5
