tol = 1e-6,,,Gap,,,,,Runtime,,,,,
n,s,t,DDGFact,DDGFactplus,Upsilon_BFGS,Upsilon_Prox,Spectral,DDGFact,DDGFactplus,Upsilon_BFGS,Upsilon_Prox,Local Search,Spectral
63,2,1,0.285520354,0.216724234,0.09378106,0.091959455,1.454679685,0.4327886,0.4152367,8.6477484,3.516682,0.4077561,0.0162872
63,3,2,0.506849192,0.377696304,0.212805159,0.212996918,2.628504284,0.2479043,0.2213977,16.1587779,4.9311694,0.1694686,0.0001635
63,4,3,0.565020057,0.407400961,0.226542498,0.22681915,3.765417299,0.0246298,0.0192865,17.6558687,5.4942751,0.1687863,0.0002701
63,5,4,0.613818122,0.44179147,0.252095926,0.25221299,4.312918242,0.0241986,0.0189523,21.7623961,7.3302039,0.1665579,0.0001605
63,6,5,0.660180752,0.471190262,0.471219246,0.285401825,4.807601545,0.0196088,0.0178162,8.3607333,9.1567823,0.1897182,0.0001513
