n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_runtime
90,16,1,0.795030211646214,0.7528657698396888,0.7528657706591826,0.2003688406293609,7.0169529,0.5493728,6.0447652
90,17,2,1.230070188490778,1.1495895852863072,1.149589581252858,0.5426410136533217,0.1044239,0.050101,4.8947817
90,18,3,1.6509614185335408,1.5344260726102306,1.5344260671051657,1.2814888778835254,0.1053183,0.0493212,4.3675634
90,19,4,2.032494736956963,1.869053473110931,1.8690534730650654,1.9997341887055917,0.1077814,0.0550775,6.4249172
90,20,5,2.458203160956103,2.2505342543925977,2.2505342543421065,2.7408108191499565,0.1246293,0.0646933,8.0130778
90,21,6,2.8338510168733606,2.575479937279354,2.5754799372767465,3.4401613989451434,0.1309636,0.057121,6.1644305
90,22,7,3.161438177145101,2.8590149934338527,2.859014993399512,3.8526537138495343,0.1849262,0.0516586,11.2252777
90,23,8,3.458051132693413,3.1126484439488564,3.112648443905073,4.05818119457512,0.2372606,0.0651082,10.8510749
90,24,9,3.9034446958299895,3.509616690953827,3.509616690933683,4.430659854426537,0.2093748,0.0472778,12.6444792
90,25,10,4.363639745402516,3.925565102640384,3.925565102610584,4.790032877581929,0.19637,0.0568879,26.1431751
90,26,11,4.636022081643148,4.147779010098617,4.14777901006326,5.018126899725672,0.1676356,0.0519911,28.2826006
90,27,12,4.984144069763147,4.446243545971441,4.4462435459355305,5.332935038339997,0.1651518,0.0636622,41.7959258
90,28,13,5.268689537748884,4.679928418399555,4.679928445295943,5.618851120370465,0.2009049,0.0754078,42.5513844
90,29,14,5.52980085411123,4.882560632681759,4.882560632656336,5.880544284978541,0.2090452,0.0864141,62.0216151
90,30,15,5.721996061805427,5.0212138060307865,5.021213806005747,5.981301063481439,0.2096291,0.0779765,53.2166054
90,31,16,5.8667036552729,5.114342774861157,5.114342774826397,6.056425901699512,0.2200262,0.0859441,68.5412787
90,32,17,6.0198469478908265,5.224559064930929,5.224559064901115,6.105288168321181,0.2791867,0.085345,67.1783706
90,33,18,6.145206991860547,5.310577381025539,5.310577380996321,6.145011504757221,0.2542977,0.0686778,62.9134309
90,34,19,6.2391464549794335,5.362373724849448,5.36237372481267,6.109955261525457,0.2444984,0.0760001,90.7540421
90,35,20,6.3223501118115735,5.402720955454313,5.402720955420506,6.0809336038689565,0.2631498,0.0672469,77.9644722
90,36,21,6.381489611606568,5.419773084207648,5.419773084178857,6.036843731008375,0.2248536,0.0697271,64.8066617
90,37,22,6.468635750672831,5.4636341222452245,5.463634122219787,6.014461853164704,0.2101101,0.0740789,95.7285787
90,38,23,6.629415127459481,5.579435414244301,5.579435414183479,6.0821211742380115,0.2540317,0.0871523,82.0401361
90,39,24,6.711434065447918,5.618533219222201,5.618533219163112,6.058128321674644,0.2727373,0.0800353,102.3014961
90,40,25,6.771590989376648,5.638473128230828,5.638473128201838,6.0331484520079925,0.3174575,0.0845948,108.7679302
90,41,26,6.853439159317645,5.6799726189457544,5.679972618910426,6.036184184312788,0.2795807,0.0739965,96.839141
90,42,27,6.932416313651942,5.719673764819646,5.719673764745437,6.050576427180971,0.2738948,0.0755628,96.7583615
90,43,28,7.046719126982339,5.795893802074204,5.795893801983823,6.08894332939937,0.3816079,0.0799302,124.6628803
90,44,29,7.142486421797315,5.8540018166685,5.854001862861708,6.094419637617136,0.3321806,0.1080587,135.2129306
90,45,30,7.22490149673402,5.900002101265301,5.9000021012396076,6.022369353698963,0.3994271,0.1110956,137.8361293
90,46,31,7.3033443202455715,5.943253409655881,5.943253409629449,5.957855887992565,0.3341561,0.0971278,162.3761687
90,47,32,7.378217396395399,5.984874159025026,5.984874158988674,5.86653317614676,0.295592,0.0850586,151.0392314
90,48,33,7.454808908852726,6.027223466889922,6.0272234658398816,5.772882821982904,0.3964563,0.1195193,171.4095907
90,49,34,7.542726127311994,6.08041522245199,6.080415222414189,5.6707172708714495,0.3289952,0.0874348,166.9191598
90,50,35,7.643324180773533,6.145303518285118,6.145303518237085,5.595853183917171,0.285325,0.0821656,153.8174772
90,51,36,7.736589915358422,6.204822937300378,6.204822937275338,5.519075009343226,0.3375646,0.0967241,166.3682885
90,52,37,7.810582460644696,6.24458188054129,6.244559749572716,5.436524922449593,0.278771,0.0852197,167.194965
90,53,38,7.8805857046232575,6.279183334714077,6.279181596090211,5.34276672536032,0.3252797,0.1431384,160.1513046
90,54,39,7.950664797500593,6.313459331045976,6.313455951822306,5.250319920970668,0.2392557,0.0928365,196.8120101
90,55,40,8.022284983038077,6.3488307044482895,6.348815427332994,5.146053950306197,0.2416999,0.0851417,209.5320591
90,56,41,8.10382449533438,6.3939665296535395,6.3939602075621735,5.04349103659294,0.3048667,0.104441,165.5108881
90,57,42,8.174233947424455,6.428677731701072,6.428639445989177,4.9019372375196895,0.2354991,0.0804853,174.7723417
90,58,43,8.25184259085097,6.471787476100786,6.471762384117056,4.776552565109284,0.256754,0.0753334,185.7382923
90,59,44,8.315096307606638,6.501851119067453,6.501789287575889,4.643905375910123,0.2072024,0.082519,160.5829638
90,60,45,8.360266104637361,6.514738366586187,6.5147099495613645,4.5011941768840416,0.3179031,0.1010108,151.7968016
90,61,46,8.427097863333103,6.548876598241151,6.548867024601918,4.371284045183501,0.2607554,0.0987431,162.8269655
90,62,47,8.468161052454263,6.555675416503277,6.555629591746026,4.217368134232004,0.2071174,0.1024999,176.5854017
90,63,48,8.51199254389951,6.564323194477424,6.5642854534463595,4.0701887449184255,0.2259399,0.0813385,186.8671205
