n,s,t,ddgfact_gap,ddgfact_plus_gap,spectral_gap,custom_bfgs_gap,ppa_one_gap,pf_lmo_lmo_gap,pf_lmo_po_gap,pf_po_lmo_gap,pf_lmo_lmo_dual_gap,pf_lmo_lmo_duality_gap,pf_lmo_lmo_dual_runtime,pf_lmo_po_dual_gap,pf_lmo_po_duality_gap,pf_lmo_po_dual_runtime,pf_po_lmo_dual_gap,pf_po_lmo_duality_gap,pf_po_lmo_dual_runtime,ddgfact_runtime,ddgfact_plus_runtime,spectral_runtime,custom_bfgs_runtime,ppa_one_runtime,pf_lmo_lmo_runtime,pf_lmo_po_runtime,pf_po_lmo_runtime,local_search_runtime
63,5,1,0.6053853751783853,0.4826863141445477,0.9403161693975799,0.2892771897798901,0.2880913470616497,0.3088342227823352,0.31873711278750105,0.2984992822721093,0.3088344035831606,1.8080082542226705e-7,0.0090315,0.318737121975066,9.187564931067982e-9,0.0080125,0.2984998829119466,6.006398373115118e-7,0.0160151,0.5547725,0.5330849,0.0715671,7.884154,3.6767099,2.8767597,1.2558063,0.7697018,0.6014369
63,6,2,1.055435940320724,0.8420441737806459,1.9113962520089196,0.5500832575193786,0.5499596617120748,0.569115801798725,0.5653974069992911,0.5565314012963585,0.5691158173499127,1.5551187670936883e-8,0.0106406,0.565397414809413,7.810121882556587e-9,0.0096049,0.5565314121647815,1.0868423050425235e-8,0.0144177,0.2074041,0.2274759,0.0001487,8.9141701,5.844123,1.1247683,1.6801787,1.198007,0.1630856
63,7,3,1.3897385554489894,1.0730735748974265,2.9603707801155235,0.6835451731709901,0.6835908577743623,0.6953567825594034,0.7012531033662919,0.6911037133569455,0.6953567958797326,1.3320329284027821e-8,0.0070141,0.701253124962181,2.1595889077019592e-8,0.0081686,0.691103716704724,3.347778498863363e-9,0.0086339,0.0223024,0.0151953,0.0001357,13.5139852,5.1978526,1.1713413,1.6048186,1.7092558,0.1821138
63,8,4,1.6131225078160911,1.214742932715657,3.464832059034504,0.7807468049008017,0.7801580936812398,0.8059551518347421,0.8033944141942415,0.7901890607107163,0.8051596110878005,-0.0007955407469415476,0.0083973,0.8033944173327754,3.13853387723384e-9,0.008483,0.7901890663788276,5.668111313639201e-9,0.0081244,0.0137245,0.0125529,0.0001304,10.5907367,5.1228242,1.6391354,1.6747423,1.1489245,0.2053756
63,9,5,1.7400862606022889,1.27770734576315,3.9305471100226796,0.8399292873187028,0.8393605021459711,0.8616509613883503,0.858119606448092,0.8536553421689463,0.8616509712307101,9.842359816047974e-9,0.0082333,0.8581196008732581,-5.5748339278238745e-9,0.0078277,0.8536553519473413,9.77839498261801e-9,0.010697,0.0307872,0.0200824,0.000143,10.5502475,6.2187976,1.1767944,1.6558087,1.2289417,0.1891003
