n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,ddgfact_plus_upsilon_one_step_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,ddgfact_plus_upsilon_one_step_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_ddgfact_plus_upsilon_one_step,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,psi_upsilon_one_step,lambda_min_upsilon_one_step,feasibility_slack_upsilon_one_step,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs,theta_norm_inf_upsilon_bfgs,gamma_min_upsilon_one_step,gamma_max_upsilon_one_step,theta_norm_upsilon_one_step,theta_norm_inf_upsilon_one_step,one_step_cache_size,one_step_num_evals,one_step_subproblem_status,one_step_subproblem_primal_status,one_step_subproblem_acceptable_status,one_step_subproblem_residual_norm_inf
63,2,1,0.2855203538847346,0.21672423402435204,0.09372603907857369,0.09204814026544994,1.4546796845492647,7.778507,0.4164464,11.0195898,5.3518395,1.3727122,0.0182553,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9309854417500019,-0.9326633405631256,0.42996820372068917,0.031745640422217065,0.05075994675341545,0.05076004675341545,1.0000000000287557e-7,0.050220814502206876,0.05022091450220688,1.0000000000287557e-7,0.5816710997856478,1.854470731991879,2.198798222420954,0.6175993356670665,0.597850943743358,1.8028189749333867,2.148725250889778,0.5893515370360033,325,325,SLOW_PROGRESS,FEASIBLE_POINT,true,0.5254169282672714
63,3,2,0.506849191718401,0.3776963044372206,0.21279878630134919,0.21283864104923156,2.6285042839927746,0.3218706,0.2324354,23.4991675,6.1378502,0.128029,0.000148,-2.6677761967011175,-2.1609270049827165,-2.290079892263897,-2.4549774103997684,-2.454937555651886,-0.03927191270834318,0.031745640422217065,0.04884131662736842,0.04884141662736842,1.0000000000287557e-7,0.049219141344545775,0.04921924134454578,1.0000000000287557e-7,0.6696235841840943,1.6666512567956269,1.899291812712987,0.510816377800623,0.6736775242489165,1.8035413130299576,1.9172809992583426,0.5897521282407375,157,157,SLOW_PROGRESS,FEASIBLE_POINT,true,0.46184278572965354
63,4,3,0.5650200573699395,0.4074009607190554,0.2266172354765752,0.22664833184408373,3.765417298825742,0.0347052,0.0224482,16.5350439,5.6360462,0.1487175,0.000146,-4.419893593283278,-3.854873535913338,-4.012492632564222,-4.1932763578067025,-4.193245261439194,-0.6544762944575357,0.031745640422217065,0.04923023784286682,0.049230337842866824,1.0000000000287557e-7,0.048622854179012846,0.04862295417901285,1.0000000000287557e-7,0.6589828691111361,1.6364248071413097,1.8229603821865292,0.4925138665410108,0.6841481221829917,1.7363200565373953,1.8553847857865267,0.5517679636099965,147,147,SLOW_PROGRESS,FEASIBLE_POINT,true,0.40553401065824124
63,5,4,0.6138181223720123,0.4417914695274616,0.2521228337241812,0.25212450631519356,4.3129182419840815,0.0289198,0.0186116,19.3715108,6.0049066,0.1664288,0.0001477,-6.209931237792533,-5.596113115420521,-5.768139768265072,-5.957808404068352,-5.95780673147734,-1.8970129958084518,0.031745640422217065,0.04860478709067885,0.04860488709067885,1.0000000000287557e-7,0.04844254167755079,0.048442641677550795,1.0000000000287557e-7,0.6996987513908689,1.6563313318785418,1.83197576005769,0.5046051155866075,0.681908708033845,1.683102758846035,1.7528850018704394,0.520638970294285,146,146,SLOW_PROGRESS,FEASIBLE_POINT,true,0.47012039459793054
63,6,5,0.6601807515487481,0.47119026212415704,0.28558850639104794,0.2857298651431286,4.807601544662485,0.0442106,0.023454,20.6291855,4.4063359,0.157333,0.0001493,-8.028993058919603,-7.368812307370855,-7.557802796795446,-7.743404552528555,-7.743263193776475,-3.2213915142571183,0.031745640422217065,0.047761301981462015,0.04776140198146202,1.0000000000287557e-7,0.0486193050675412,0.048619405067541206,1.0000000000287557e-7,0.69773743527278,1.630683231427419,1.778244713415501,0.488999087380417,0.7009068245622477,1.6721847748739966,1.7055928605457698,0.5141310198448629,121,121,SLOW_PROGRESS,FEASIBLE_POINT,true,0.4903640171774081
