n,s,t,cont_fi_obj,cont_fp_obj,cont_bi_obj,greedy_fi_obj,greedy_fp_obj,greedy_bi_obj,reversegreedy_fi_obj,reversegreedy_fp_obj,reversegreedy_bi_obj,simplex_fi_obj,simplex_fp_obj,simplex_bi_obj,best_ls_obj
63,20,1,0.05401470709958247,0.05401470709958247,0.054014707099582046,0.05401470709958268,0.05401470709958268,0.05401470709958268,0.05401470709958268,0.05401470709958268,0.05401470709958268,0.054014707099582046,0.05401470709958184,0.054014707099582254,0.05401470709958268
63,20,2,-0.7129216820403054,-0.7129216820403034,-0.7129216820403047,-0.7129216820403054,-0.7129216820403054,-0.7129216820403064,-0.7129216820403058,-0.7129216820403058,-0.7129216820403058,-0.712921682040306,-0.712921682040306,-0.7129216820403054,-0.7129216820403034
63,20,3,-2.1010773841694674,-2.1010773841694674,-2.064864737823661,-2.170638756253543,-2.170638756253543,-2.170638756253543,-2.101077384169467,-2.101077384169467,-2.101077384169467,-2.064864737823662,-2.064864737823662,-2.064864737823661,-2.064864737823661
63,20,4,-3.6036245270817213,-3.6036245270817195,-3.6036245270817213,-3.6036245270817218,-3.7381270111225238,-3.738127011122523,-3.6036245270817204,-3.6036245270817204,-3.6036245270817204,-3.6036245270817213,-3.6036245270817213,-3.603624527081722,-3.6036245270817195
63,20,5,-5.590350960650817,-5.578075178912239,-5.541106225641281,-5.517290664065088,-5.51729066406509,-5.51729066406509,-5.394922271558802,-5.394922271558803,-5.394922271558803,-5.4384330208069205,-5.4384330208069205,-5.4384330208069205,-5.394922271558802
63,20,6,-7.433242526209804,-7.433242526209804,-7.433242526209804,-7.317329898715062,-7.317329898715062,-7.317329898715062,-7.477942103047455,-7.477942103047455,-7.477942103047455,-7.317329898715061,-7.317329898715061,-7.317329898715062,-7.317329898715061
63,20,7,-9.332584107377336,-9.332584107377336,-9.332584107377336,-9.311436577704193,-9.311436577704193,-9.311436577704193,-9.398600808605972,-9.398600808605972,-9.398600808605972,-9.31143657770419,-9.31143657770419,-9.311436577704193,-9.31143657770419
63,20,8,-11.418718617836111,-11.418718617836111,-11.41871861783611,-11.365593126504884,-11.365593126504884,-11.365593126504884,-11.501269128137258,-11.501269128137258,-11.501269128137258,-11.365593126504884,-11.365593126504884,-11.365593126504885,-11.365593126504884
63,20,9,-13.439059407352483,-13.439059407352483,-13.439059407352481,-13.558955370297044,-13.558955370297044,-13.558955370297044,-13.445268425319817,-13.445268425319817,-13.445268425319817,-13.51647225682365,-13.51647225682365,-13.51647225682365,-13.439059407352481
63,20,10,-15.633226912781117,-15.633226912781117,-15.633226912781117,-15.633226912781117,-15.633226912781117,-15.633226912781117,-15.810561970050928,-15.810561970050928,-15.810561970050928,-15.713078465660338,-15.713078465660338,-15.713078465660338,-15.633226912781117
63,20,11,-17.82038773525431,-17.82038773525431,-17.820387735254315,-17.82038773525431,-17.82038773525431,-17.820387735254307,-17.996614777435504,-17.996614777435504,-17.996614777435504,-17.820387735254307,-17.820387735254307,-17.82038773525431,-17.820387735254307
63,20,12,-20.130625932191112,-20.130625932191112,-20.130625932191112,-20.130625932191116,-20.130625932191116,-20.130625932191116,-20.097016098941538,-20.097016098941538,-20.09701609894154,-20.130625932191116,-20.130625932191116,-20.130625932191112,-20.097016098941538
63,20,13,-22.48577041897824,-22.48577041897824,-22.485770418978245,-22.49521315550148,-22.49521315550148,-22.49521315550148,-22.631904331307172,-22.631904331307172,-22.631904331307172,-22.49521315550148,-22.49521315550148,-22.495213155501474,-22.48577041897824
63,20,14,-24.86395617435627,-24.86395617435627,-24.863956174356268,-24.863956174356264,-24.863956174356264,-24.863956174356264,-25.00350620048484,-25.00350620048484,-25.00350620048484,-24.86395617435627,-24.86395617435627,-24.86395617435628,-24.863956174356264
63,20,15,-27.25583443871075,-27.25583443871075,-27.25583443871075,-27.255834438710753,-27.255834438710753,-27.255834438710753,-27.475652313678758,-27.475652313678758,-27.475652313678758,-27.25583443871075,-27.25583443871075,-27.25583443871075,-27.25583443871075
63,20,16,-29.67512447462728,-29.67512447462728,-29.675124474627275,-29.675124474627285,-29.675124474627285,-29.675124474627285,-29.951400990884707,-29.951400990884707,-29.951400990884707,-29.67512447462728,-29.67512447462728,-29.67512447462728,-29.675124474627275
63,20,17,-32.15087099821121,-32.15087099821121,-32.15087099821121,-32.15087099821121,-32.15087099821121,-32.15087099821121,-32.46908485737523,-32.46908485737523,-32.46908485737523,-32.15087099821121,-32.15087099821122,-32.15087099821122,-32.15087099821121
63,20,18,-34.65971822451667,-34.67899198113604,-34.678991981136036,-34.678991981136036,-34.678991981136036,-34.678991981136036,-34.82356861914678,-34.82356861914678,-34.82356861914678,-34.72732704893279,-34.72732704893279,-34.678991981136036,-34.65971822451667
63,20,19,-37.227787069791376,-37.215905021340895,-37.215905021340895,-37.215905021340895,-37.215905021340895,-37.215905021340895,-37.22778706979139,-37.22778706979139,-37.22778706979139,-37.215905021340895,-37.21590502134091,-37.2159050213409,-37.215905021340895
63,20,20,-39.850278616655174,-39.850278616655174,-39.85027861665516,-39.85027861665517,-39.85027861665517,-39.85027861665517,-39.85027861665517,-39.85027861665517,-39.85027861665517,-39.85027861665516,-39.85027861665516,-39.85027861665515,-39.85027861665515
