n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_original_gap,ddgfact_plus_upsilon_bfgs_t1_reform_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_original_runtime,ddgfact_plus_upsilon_bfgs_t1_reform_runtime,local_search_runtime,spectral_runtime,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs_original,z_ddgfact_plus_upsilon_bfgs_t1_reform,z_spec,bfgs_t1_reform_improvement_over_original,bfgs_t1_reform_runtime_saving,psi_bfgs_original,lambda_min_bfgs_original,feasibility_slack_bfgs_original,psi_bfgs_t1_reform,lambda_min_bfgs_t1_reform,feasibility_slack_bfgs_t1_reform,gamma_min_bfgs_original,gamma_max_bfgs_original,theta_norm_bfgs_original,gamma_min_bfgs_t1_reform,gamma_max_bfgs_t1_reform,theta_norm_bfgs_t1_reform
63,2,1,0.2855203538847346,0.21672423402435204,0.09203985684670979,0.0920269388086633,1.4546796845492647,0.646287,0.5354201,14.3253853,4.9118705,0.5045374,0.0242527,-1.0247114808285755,-0.7391911269438409,-0.8079872468042235,-0.9326716239818658,-0.9326845420199122,0.42996820372068917,1.2918038046483282e-5,9.413514800000002,0.05075911922299298,0.05075921922299298,1.0000000000287557e-7,0.0509373083034982,0.0509374083034982,1.0000000000287557e-7,0.6033435714865922,1.7270311590838774,2.110853541668697,0.5997712635819078,1.7325668966215388,2.094780829502531
63,3,1,0.40559367639079713,0.31036875138709363,0.13069335278902705,0.13069253748834586,1.193666460566439,0.0116833,0.0083377,12.0025171,4.2852922,0.1645571,0.0001726,-0.76369825684575,-0.35810458045495286,-0.45332950545865636,-0.6330049040567229,-0.6330057193574041,0.42996820372068917,8.153006811895125e-7,7.717224900000001,0.05028296435095456,0.050283064350954566,1.0000000000287557e-7,0.05023429504588115,0.050234395045881154,1.0000000000287557e-7,0.5985778646461914,1.8183632753761847,2.038975012890046,0.597998449689486,1.8288801335288116,2.039974107006707
63,4,1,0.5403975849666994,0.429798923609753,0.23234115519665666,0.23234276854728642,1.0651161400785043,0.0078926,0.0069552,15.9109098,6.9724096,0.1818862,0.0001662,-0.6351479363578152,-0.09475035139111573,-0.2053490127480622,-0.40280678116115853,-0.4028051678105288,0.42996820372068917,-1.6133506297588696e-6,8.9385002,0.050438530636567815,0.05043863063656782,1.0000000000287557e-7,0.050746551901001795,0.0507466519010018,1.0000000000287557e-7,0.5901041951228755,1.836179122853132,2.2184826044570087,0.5945963934346856,1.8475116659825634,2.271003284400572
63,5,1,0.6053853751783853,0.4826863141445477,0.2879003323844299,0.2879113488771409,0.9403161693975799,0.0089497,0.0075808,12.2854904,10.1071298,0.1318639,0.0001352,-0.5103479656768907,0.09503740950149467,-0.027661651532342946,-0.22244763329246076,-0.22243661679974974,0.42996820372068917,-1.101649271101346e-5,2.1783606000000013,0.05075083323017593,0.05075093323017593,1.0000000000287557e-7,0.050934296352774744,0.05093439635277475,1.0000000000287557e-7,0.6196555970477075,1.8349903302813002,2.2139841289286766,0.6262065404105643,1.8405184895233675,2.2026730808913926
63,6,1,0.6815858667771566,0.5490010784839117,0.3625494496438628,0.36255977827608515,0.8660230024467304,0.0058994,0.0055766,10.2534041,9.1643552,0.1674465,0.000171,-0.43605479872604114,0.24553106805111552,0.11294627975787057,-0.07350534908217832,-0.07349502044995598,0.42996820372068917,-1.0328632222333933e-5,1.0890488999999999,0.05001305689382031,0.05001315689382031,1.0000000000287557e-7,0.0501080415691518,0.050108141569151804,1.0000000000287557e-7,0.6933234828036662,1.7162632525785986,2.073393656437181,0.6844022791431403,1.7804245608497522,2.0161491236015956
63,7,1,0.7401944220480897,0.6000720913956512,0.4099883419436411,0.4101278996294565,0.7939203766532575,0.0094231,0.0079161,13.1823166,6.0914174,0.1849351,0.000174,-0.3639521729325684,0.37624224911552134,0.23611991846308283,0.046036169011072714,0.04617572669688813,0.42996820372068917,-0.00013955768581541683,7.0908992,0.05022057725235679,0.050220677252356793,1.0000000000287557e-7,0.05050994839104887,0.050510048391048876,1.0000000000287557e-7,0.6737432214306724,1.728056622030094,2.1538708056571303,0.7000302184646097,1.8129270451776271,2.0248480950215475
63,8,1,0.7905939804685242,0.6442217544519281,0.45015012546518995,0.45015900434450035,0.7307559278657795,0.0097834,0.0080233,13.1492281,11.9035616,0.1975407,0.0001673,-0.3007877241450903,0.48980625632343394,0.3434340303068378,0.14936240132009967,0.14937128019941004,0.42996820372068917,-8.878879310364463e-6,1.2456665000000005,0.049365672735026137,0.04936577273502614,1.0000000000287557e-7,0.0495664706305006,0.0495665706305006,1.0000000000287557e-7,0.7197247313485585,1.7914299498753126,1.945911288447017,0.730219284255176,1.7438835925008596,1.9031065658962287
63,9,1,0.841103077929563,0.6894285568316982,0.49129323675547376,0.49131048752557505,0.68073235627712,0.0205811,0.0117552,15.7314168,8.7924395,0.7320199,0.0001443,-0.25076415255643086,0.590338925373132,0.43866440427526737,0.2405290841990429,0.24054633496914418,0.42996820372068917,-1.725077010128473e-5,6.9389772999999995,0.049153823859632184,0.04915392385963219,1.0000000000287557e-7,0.04959839144006744,0.04959849144006744,1.0000000000287557e-7,0.724628519843699,1.7715022509423346,1.9302057480118622,0.731802210733521,1.755386751846435,1.8715788708731727
63,10,1,0.892610306447692,0.736443917199979,0.5355064230901194,0.5355077061319291,0.6414533150109731,0.0072963,0.0061401,10.3682352,3.1177978,0.2079279,0.0001394,-0.21148511129028397,0.681125195157408,0.5249588059096951,0.3240213117998354,0.3240225948416452,0.42996820372068917,-1.2830418097964369e-6,7.250437400000001,0.048749641582457974,0.04874974158245798,1.0000000000287557e-7,0.048767789882937,0.048767889882937,1.0000000000287557e-7,0.7196412728124753,1.722655021118913,1.9831308145602753,0.7199063863105711,1.7242225088398868,1.9824397984806221
63,11,1,0.9472283142492621,0.7872314157121899,0.5837369803432896,0.5837473973734578,0.6130784359975929,0.0072139,0.0059814,14.1603061,8.6815894,0.2767255,0.0001839,-0.1831102322769038,0.7641180819723583,0.6041211834352861,0.40062674806638576,0.40063716509655406,0.42996820372068917,-1.0417030168297092e-5,5.4787167,0.04911150398433218,0.04911160398433218,1.0000000000287557e-7,0.04940328941084781,0.04940338941084781,1.0000000000287557e-7,0.7293688500747383,1.6929564929199599,1.9109213433747492,0.7335688007136952,1.688422061721615,1.8834317645893117
63,12,1,0.9950243848296918,0.8317275182658846,0.6252984485103013,0.6253001694389115,0.5843741306547421,0.0103431,0.0082827,17.2825438,8.7784056,0.3143332,0.0001854,-0.1544059269340529,0.8406184578956389,0.6773215913318318,0.4708925215762484,0.4708942425048587,0.42996820372068917,-1.7209286102826127e-6,8.5041382,0.049030971788927145,0.04903107178892715,1.0000000000287557e-7,0.04931209602672002,0.049312196026720025,1.0000000000287557e-7,0.7323323377964636,1.7539167386388055,1.9480564125793507,0.7383677371695829,1.778628814687242,1.9173146085449972
